Act #,Activity,
001,DOCKING,DOCKING_[001]
002,UNDOCKING,UNDOCKING_[002]
003,FERRY SERVICE,FERRY SERVICE_[003]
004,SHIFTING,SHIFTING_[004]
005,TOWING,TOWING_[005]
006,SALVAGE,SALVAGE_[006]
007,MOORING,MOORING_[007]
008,UNMOORING,UNMOORING_[008]
009,FENDERING,FENDERING_[009]
010,TENDING,TENDING_[010]
011,CARGO TRANSFER,CARGO TRANSFER_[011]
012,BOARDING FORMALITIES,BOARDING FORMALITIES_[012]
013,ESCORT,ESCORT_[013]
014,WATERING,WATERING_[014]
015,ABORTED,ABORTED_[015]
016,CARGO DELIVERY,CARGO DELIVERY_[016]
017,REDOCKING,REDOCKING_[017]
018,RESCUE,RESCUE_[018]
019,DRILLS,DRILLS_[019]
