Timestamp,Email Address,Full Name,Position,Dispatch/Mooring Ticket #,Choose COS/Vessel details,Date Today,Terminal,Vessel,Voyage #,Date of Start of Activity/Service,Time of Start of Activity/Service,Date of End of Activity/Service,Time of End of Activity/Service,Tugboat/Service Provider,Master/Officer on Duty,Type of Activity,Remarks,Column 18,Terminal,Vessel,Voyage #,Column 22,Voyage #,Column 20,Column 20,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 33,Column 34,Column 35,per type,Client,Column 38
1/3/2026 11:16:27,mmsi-ops@malayanmaritime.com,DJB,OM,,,34837,COS#_[000000]_BATANGAS_PETRON MABINI_[001-003]_HERMA SHIPPING AND TRANSPORT CORPORATION_[0046]_MT MALINGAP_[0265]_V[409],1/1/2026,05:55,1/1/2026,08:05,SUN JIN NO.505_[076],"MANLANGIT, JUN MARK_[9044]",,,,UNDOCKING_[002],,,,,,,,,COS#_[000000]_BATANGAS_PETRON MABINI_[001-003]_HERMA SHIPPING AND TRANSPORT CORPORATION_[0046]_MT MALINGAP_[0265]_V[409]UNDOCKING_[002],_UNDOCKING_[002],1,,1/1/2026,1/1/2026,Local,0.090277778,,0,HERMA SHIPPING AND TRANSPORT CORPORATION_[0046],COS#_[000000]_BATANGAS_PETRON MABINI_[001-003]_HERMA SHIPPING AND TRANSPORT CORPORATION_[0046]_MT MALINGAP_[0265]_V[409]UNDOCKING_[002]
1/3/2026 13:21:41,mmsi-ops@malayanmaritime.com,DJB,OM,,,32042,COS#_[000000]_LEYTE_VISPET_[007-001]_INSULAR OIL CORPORATION_[0007]_MT CASANDRA_[0031]_V[407],1/2/2026,08:50,1/2/2026,10:35,TABANGAO_[018],"BREZ, JAYVIE_[2624]",,,,DOCKING_[001],,,,,,,,,COS#_[000000]_LEYTE_VISPET_[007-001]_INSULAR OIL CORPORATION_[0007]_MT CASANDRA_[0031]_V[407]DOCKING_[001],_DOCKING_[001],1,,1/2/2026,1/2/2026,Local,0.072916667,,0,INSULAR OIL CORPORATION_[0007],COS#_[000000]_LEYTE_VISPET_[007-001]_INSULAR OIL CORPORATION_[0007]_MT CASANDRA_[0031]_V[407]DOCKING_[001]
1/3/2026 13:34:28,mmsi-ops@malayanmaritime.com,DJB,OM,,,32041,COS#_[000000]_LEYTE_VISPET_[007-001]_INSULAR OIL CORPORATION_[0007]_MT CASANDRA_[0031]_V[407],1/3/2026,10:40,1/3/2026,11:20,TABANGAO_[018],"BREZ, JAYVIE_[2624]",,,,UNDOCKING_[002],,,,,,,,,COS#_[000000]_LEYTE_VISPET_[007-001]_INSULAR OIL CORPORATION_[0007]_MT CASANDRA_[0031]_V[407]UNDOCKING_[002],_UNDOCKING_[002],1,,1/3/2026,1/3/2026,Local,0.027777778,,0,INSULAR OIL CORPORATION_[0007],COS#_[000000]_LEYTE_VISPET_[007-001]_INSULAR OIL CORPORATION_[0007]_MT CASANDRA_[0031]_V[407]UNDOCKING_[002]
1/3/2026 13:40:10,mmsi-ops@malayanmaritime.com,DJB,OM,,,34580,COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281],1/2/2026,10:45,1/2/2026,11:55,NHTC 5_[069],OTHER TUGMASTER_[M2],,,,DOCKING_[001],,,,,,,,,COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281]DOCKING_[001],_DOCKING_[001],1,,1/2/2026,1/2/2026,Local,0.048611111,,0,INSULAR OIL CORPORATION_[0007],COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281]DOCKING_[001]
1/3/2026 13:41:09,mmsi-ops@malayanmaritime.com,DJB,OM,,,34579,COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281],1/2/2026,10:45,1/2/2026,11:53,TUG 20_[071],OTHER TUGMASTER_[M2],,,,DOCKING_[001],,,,,,,,,COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281]DOCKING_[001],_DOCKING_[001],1,,1/2/2026,1/2/2026,Local,0.047222222,,0,INSULAR OIL CORPORATION_[0007],COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281]DOCKING_[001]
1/3/2026 13:44:12,mmsi-ops@malayanmaritime.com,DJB,OM,,,34838,COS#_[000000]_BATANGAS_FGEN LNG TERMINAL_[001-008]_BEN LINE AGENCIES PHILS INC_[0051]_BW BATANGAS_[0340]_V[46023],1/2/2026,10:06,1/2/2026,15:15,SUN JIN NO.505_[076],"REYES, RHODELMAR_[2581]",,,,FERRY SERVICE_[003],,,,,,,,,COS#_[000000]_BATANGAS_FGEN LNG TERMINAL_[001-008]_BEN LINE AGENCIES PHILS INC_[0051]_BW BATANGAS_[0340]_V[46023]FERRY SERVICE_[003],_FERRY SERVICE_[003],1,,1/2/2026,1/2/2026,Local,0.214583333,,0,BEN LINE AGENCIES PHILS INC_[0051],COS#_[000000]_BATANGAS_FGEN LNG TERMINAL_[001-008]_BEN LINE AGENCIES PHILS INC_[0051]_BW BATANGAS_[0340]_V[46023]FERRY SERVICE_[003]
1/3/2026 13:45:46,mmsi-ops@malayanmaritime.com,DJB,OM,,,36151,COS#_[000000]_DAVAO_THERMA SOUTH_[005-017]_PHIL-CEB MARINE SERVICES INC._[0033]_MV FEDERAL SW_[0705]_V[107],1/1/2026,06:40,1/1/2026,10:20,AMATA MARU_[001],"CINCHEZ, LIONNY BOY_[2189]",,,,UNDOCKING_[002],,,,,,,,,COS#_[000000]_DAVAO_THERMA SOUTH_[005-017]_PHIL-CEB MARINE SERVICES INC._[0033]_MV FEDERAL SW_[0705]_V[107]UNDOCKING_[002],_UNDOCKING_[002],1,,1/1/2026,1/1/2026,Foreign,0.152777778,,0,PHIL-CEB MARINE SERVICES INC._[0033],COS#_[000000]_DAVAO_THERMA SOUTH_[005-017]_PHIL-CEB MARINE SERVICES INC._[0033]_MV FEDERAL SW_[0705]_V[107]UNDOCKING_[002]
1/3/2026 13:47:45,mmsi-ops@malayanmaritime.com,DJB,OM,,,35930,COS#_[000000]_DAVAO_THERMA SOUTH_[005-017]_PHIL-CEB MARINE SERVICES INC._[0033]_MV FEDERAL SW_[0705]_V[107],1/1/2026,04:20,1/1/2026,10:30,BOHOL SEA_[002],"MARZONIA, JOVIC_[2596]",,,,UNDOCKING_[002],,,,,,,,,COS#_[000000]_DAVAO_THERMA SOUTH_[005-017]_PHIL-CEB MARINE SERVICES INC._[0033]_MV FEDERAL SW_[0705]_V[107]UNDOCKING_[002],_UNDOCKING_[002],1,,1/1/2026,1/1/2026,Foreign,0.256944444,,0,PHIL-CEB MARINE SERVICES INC._[0033],COS#_[000000]_DAVAO_THERMA SOUTH_[005-017]_PHIL-CEB MARINE SERVICES INC._[0033]_MV FEDERAL SW_[0705]_V[107]UNDOCKING_[002]
1/3/2026 13:49:02,mmsi-ops@malayanmaritime.com,DJB,OM,,,36046,"COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]",1/2/2026,02:00,1/2/2026,06:40,ALLIE BRAVO_[125],"BASALO, A_[1]",,,,DOCKING_[001],,,,,,,,,"COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]DOCKING_[001]",_DOCKING_[001],1,,1/2/2026,1/2/2026,Foreign,0.194444444,,0,"MAR-SHIPS AGENCY, INC._[0043]","COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]DOCKING_[001]"
1/3/2026 14:09:27,mmsi-ops@malayanmaritime.com,DJB,OM,,,36152,COS#_[000000]_DAVAO_SOUTHERN CONCRETE INDUSTRY INC._[005-020]_WINDBAY SHIPPING AND LOGISTICS INC._[0052]_MV GOOBY_[0702],1/2/2026,03:00,1/2/2026,11:00,AMATA MARU_[001],"CINCHEZ, LIONNY BOY_[2189]",,,,DOCKING_[001],,,,,,,,,COS#_[000000]_DAVAO_SOUTHERN CONCRETE INDUSTRY INC._[005-020]_WINDBAY SHIPPING AND LOGISTICS INC._[0052]_MV GOOBY_[0702]DOCKING_[001],_DOCKING_[001],1,,1/2/2026,1/2/2026,Foreign,0.333333333,,0,WINDBAY SHIPPING AND LOGISTICS INC._[0052],COS#_[000000]_DAVAO_SOUTHERN CONCRETE INDUSTRY INC._[005-020]_WINDBAY SHIPPING AND LOGISTICS INC._[0052]_MV GOOBY_[0702]DOCKING_[001]
