,,,,,,,,,,,,,,,,
Date Left,time Left,Date Arrived,Time Arrived,Tugboat Name,client,Vessel Name,Port Name,Terminal Name,Activity / Service Description,for,Remarks,Voyage #,,,,
08/08/2024,08:30,08/08/2024,11:00,HOKUTO,,MT ALICE DL,CEBU,CEBU_ARCTURA,DOCKING,,,,,,,
10/01/2024,21:20,10/01/2024,22:55,NHTC 5,,MT PANGLAO ISLAND,CEBU,CEBU_SRDC LAPU LAPU,DOCKING,,,876,,,,
10/02/2024,10:50,10/02/2024,11:50,NHTC 5,,MT PANGLAO ISLAND,CEBU,CEBU_SRDC LAPU LAPU,UNDOCKING,,,876,,,,
10/15/2024,10:15,10/15/2024,11:55,NHTC 5,,MT MARINGAL,CEBU,CEBU_SRDC LAPU LAPU,DOCKING,,,286,,,,
10/16/2024,07:20,10/16/2024,08:20,NHTC 5,,MT MARINGAL,CEBU,CEBU_SRDC LAPU LAPU,UNDOCKING,,,286,,,,
10/21/2024,11:00,10/21/2024,12:40,ENERGY VENUS,,MT ANGEL STAR,QUEZON,QUEZON_AZORA SARIAYA,BOARDING FORMALITIES,,,,,,,
10/21/2024,16:45,10/21/2024,19:50,ENERGY PACIFIC,,MT ANGEL STAR,QUEZON,QUEZON_AZORA SARIAYA,DOCKING,,,,,,,
10/21/2024,16:50,10/21/2024,19:30,ENERGY VENUS,,MT ANGEL STAR,QUEZON,QUEZON_AZORA SARIAYA,DOCKING,,,,,,,
10/22/2024,17:45,10/22/2024,19:10,ENERGY PACIFIC,,MT ANGEL STAR,QUEZON,QUEZON_AZORA SARIAYA,UNDOCKING,,,,,,,
10/22/2024,17:50,10/22/2024,19:05,ENERGY VENUS,,MT ANGEL STAR,QUEZON,QUEZON_AZORA SARIAYA,UNDOCKING,,,,,,,
10/27/2024,03:35,10/27/2024,06:35,ENERGY PACIFIC,,MT ANGEL STAR,QUEZON,QUEZON_AZORA SARIAYA,DOCKING,,,,,,,
10/27/2024,03:40,10/27/2024,06:35,ENERGY VENUS,,MT ANGEL STAR,QUEZON,QUEZON_AZORA SARIAYA,DOCKING,,,,,,,
10/27/2024,16:30,10/27/2024,17:45,ENERGY PACIFIC,,MT ANGEL STAR,QUEZON,QUEZON_AZORA SARIAYA,UNDOCKING,,,,,,,
10/27/2024,16:35,10/27/2024,17:30,ENERGY VENUS,,MT ANGEL STAR,QUEZON,QUEZON_AZORA SARIAYA,UNDOCKING,,,,,,,
10/28/2024,06:00,10/28/2024,08:25,PANAY GULF,,MV THAI BINH 68,DAVAO,DAVAO_KUDOS,DOCKING,,,,,,,
10/28/2024,06:05,10/28/2024,08:25,CEBU STRAIT,,MV THAI BINH 68,DAVAO,DAVAO_KUDOS,DOCKING,,,,,,,
10/28/2024,18:00,10/28/2024,20:25,NHTC 5,,MT MALINGAP,CEBU,CEBU_SRDC LAPU LAPU,DOCKING,,,361,,,,
10/28/2024,18:00,10/28/2024,20:25,NHTC 5,SITE RESOURCES DEVELOPMENT CORPORATION,MT MALINGAP,CEBU,CEBU_SRDC LAPU LAPU,DOCKING,,,361,,,,
10/29/2024,04:45,10/29/2024,06:25,PACIFICROSE 11,,MT CHELSEA ENDURANCE,CDO,CDO_PDOC,DOCKING,,,,,,,
10/29/2024,05:25,10/29/2024,06:10,PACIFICROSE 11,,MT CHELSEA ENDURANCE,CDO,CDO_PDOC,DOCKING,,,,,,,
10/29/2024,08:15,10/29/2024,11:03,ANSTEF,,MT ESPADA,LEYTE,LEYTE_VISPET,DOCKING,,,,,,,
10/29/2024,11:00,10/29/2024,11:44,NHTC 5,,MT MALINGAP,CEBU,CEBU_SRDC LAPU LAPU,UNDOCKING,,,361,,,,
10/29/2024,11:00,10/29/2024,11:45,NHTC 5,SITE RESOURCES DEVELOPMENT CORPORATION,MT MALINGAP,CEBU,CEBU_SRDC LAPU LAPU,UNDOCKING,,,361,,,,
10/29/2024,14:30,10/29/2024,16:05,PANAY GULF,,MV TUAN DUNG 36,DAVAO,DAVAO_KUDOS,DOCKING,,,,,,,
10/30/2024,10:40,10/30/2024,11:25,ANSTEF,,MT ESPADA,LEYTE,LEYTE_VISPET,UNDOCKING,,,,,,,
10/30/2024,14:04,10/30/2024,14:23,PACIFIC ROSE 8,,MT CHELSEA ENDURANCE,CDO,CDO_PDOC,UNDOCKING,,,,,,,
