PORT,NAME,TERMINAL,NAME,port1,term,port term,vector,numrnk,prio,cntprio,rank,0,0,0,,geography,"46,180",,
1,BATANGAS,001-005,ATI,BATANGAS_[001],ATI_[001-005],BATANGAS_ATI_[001-005],4,#NAME?,#NAME?,127,#NAME?,BATANGAS_[001],BATANGAS_ATI_[001-005],,1,2,#NAME?,#NAME?,#NAME?
1,BATANGAS,001-008,FGEN LNG TERMINAL,BATANGAS_[001],FGEN LNG TERMINAL_[001-008],BATANGAS_FGEN LNG TERMINAL_[001-008],3,#NAME?,#NAME?,127,#NAME?,BATANGAS_[001],BATANGAS_FGEN LNG TERMINAL_[001-008],,1,2,#NAME?,#NAME?,#NAME?
1,BATANGAS,001-009,FIRST GAS POWER CORP,BATANGAS_[001],FIRST GAS POWER CORP_[001-009],BATANGAS_FIRST GAS POWER CORP_[001-009],2,#NAME?,#NAME?,127,#NAME?,BATANGAS_[001],BATANGAS_FIRST GAS POWER CORP_[001-009],,1,2,#NAME?,#NAME?,#NAME?
1,BATANGAS,001-006,FIRST GAS SAN LORENZO,BATANGAS_[001],FIRST GAS SAN LORENZO_[001-006],BATANGAS_FIRST GAS SAN LORENZO_[001-006],1,#NAME?,#NAME?,127,#NAME?,BATANGAS_[001],BATANGAS_FIRST GAS SAN LORENZO_[001-006],,1,2,#NAME?,#NAME?,#NAME?
1,BATANGAS,001-004,SRDC BATANGAS,BATANGAS_[001],SRDC BATANGAS_[001-004],BATANGAS_SRDC BATANGAS_[001-004],0,#NAME?,#NAME?,127,#NAME?,BATANGAS_[001],BATANGAS_SRDC BATANGAS_[001-004],,1,2,#NAME?,#NAME?,#NAME?
1,BATANGAS,001-002,CHEVRON BATANGAS,BATANGAS_[001],CHEVRON BATANGAS_[001-002],BATANGAS_CHEVRON BATANGAS_[001-002],-1,#NAME?,#NAME?,127,#NAME?,BATANGAS_[001],BATANGAS_CHEVRON BATANGAS_[001-002],,1,2,#NAME?,#NAME?,#NAME?
1,BATANGAS,001-010,DANGLAYAN ANCHORAGE,BATANGAS_[001],DANGLAYAN ANCHORAGE_[001-010],BATANGAS_DANGLAYAN ANCHORAGE_[001-010],-2,#NAME?,#NAME?,127,#NAME?,BATANGAS_[001],BATANGAS_DANGLAYAN ANCHORAGE_[001-010],,1,2,#NAME?,#NAME?,#NAME?
1,BATANGAS,001-001,BBTI,BATANGAS_[001],BBTI_[001-001],BATANGAS_BBTI_[001-001],-3,#NAME?,#NAME?,127,#NAME?,BATANGAS_[001],BATANGAS_BBTI_[001-001],,1,2,#NAME?,#NAME?,#NAME?
1,BATANGAS,001-014,COCOCHEM TERMINAL,BATANGAS_[001],COCOCHEM TERMINAL_[001-014],BATANGAS_COCOCHEM TERMINAL_[001-014],-4,#NAME?,#NAME?,127,#NAME?,BATANGAS_[001],BATANGAS_COCOCHEM TERMINAL_[001-014],,1,2,#NAME?,#NAME?,#NAME?
1,BATANGAS,001-003,PETRON MABINI,BATANGAS_[001],PETRON MABINI_[001-003],BATANGAS_PETRON MABINI_[001-003],-5,#NAME?,#NAME?,127,#NAME?,BATANGAS_[001],BATANGAS_PETRON MABINI_[001-003],,1,2,#NAME?,#NAME?,#NAME?
1,BATANGAS,001-007,SEAOIL MABINI,BATANGAS_[001],SEAOIL MABINI_[001-007],BATANGAS_SEAOIL MABINI_[001-007],-6,#NAME?,#NAME?,127,#NAME?,BATANGAS_[001],BATANGAS_SEAOIL MABINI_[001-007],,1,2,#NAME?,#NAME?,#NAME?
1,BATANGAS,001-013,SINISIAN LEMERY BATANGAS PORT,BATANGAS_[001],SINISIAN LEMERY BATANGAS PORT_[001-013],BATANGAS_SINISIAN LEMERY BATANGAS PORT_[001-013],-7,#NAME?,#NAME?,127,#NAME?,BATANGAS_[001],BATANGAS_SINISIAN LEMERY BATANGAS PORT_[001-013],,1,2,#NAME?,#NAME?,#NAME?
2,BOHOL,002-001,PRYCE GAS LILA,BOHOL_[002],PRYCE GAS LILA_[002-001],BOHOL_PRYCE GAS LILA_[002-001],0,#NAME?,#NAME?,127,#NAME?,BOHOL_[002],BOHOL_PRYCE GAS LILA_[002-001],,2,6,#NAME?,#NAME?,#NAME?
3,CEBU,003-006,AZORA SAN FERNANDO,CEBU_[003],AZORA SAN FERNANDO_[003-006],CEBU_AZORA SAN FERNANDO_[003-006],-4,#NAME?,#NAME?,127,#NAME?,CEBU_[003],CEBU_AZORA SAN FERNANDO_[003-006],,3,5,#NAME?,#NAME?,#NAME?
3,CEBU,003-003,SPEC PITALO,CEBU_[003],SPEC PITALO_[003-003],CEBU_SPEC PITALO_[003-003],-3,#NAME?,#NAME?,127,#NAME?,CEBU_[003],CEBU_SPEC PITALO_[003-003],,3,5,#NAME?,#NAME?,#NAME?
3,CEBU,003-005,PHOENIX NAGA,CEBU_[003],PHOENIX NAGA_[003-005],CEBU_PHOENIX NAGA_[003-005],-2,#NAME?,#NAME?,127,#NAME?,CEBU_[003],CEBU_PHOENIX NAGA_[003-005],,3,5,#NAME?,#NAME?,#NAME?
3,CEBU,003-007,LIBOR,CEBU_[003],LIBOR_[003-007],CEBU_LIBOR_[003-007],-1,#NAME?,#NAME?,127,#NAME?,CEBU_[003],CEBU_LIBOR_[003-007],,3,5,#NAME?,#NAME?,#NAME?
3,CEBU,003-004,SRDC LAPU LAPU,CEBU_[003],SRDC LAPU LAPU_[003-004],CEBU_SRDC LAPU LAPU_[003-004],0,#NAME?,#NAME?,127,#NAME?,CEBU_[003],CEBU_SRDC LAPU LAPU_[003-004],,3,5,#NAME?,#NAME?,#NAME?
