Timestamp,date prepared,service request date,Received Via,Agent / Client,Billing Party,Vessel/ Voyage ,Vessel Type,ETA /POB,Port,Terminal,Service Type,Service Provider,#Tugs Required,Date Approved,Approving Personnel, , ,Email Address,STATUS,COS,Remarks,COS#,vessel#,vessel name,port#,port name,terminal #,terminal name,,,,
12/26/2023,12/26/2023,12/26/2023,SMS,NARRA TANKERS CORP,,NTC LAWIN,Local,12/28/2023,DAVAO,PETRON,Docking / Undocking,MMSI,1/2/1900,12/26/2023,RML,,,mmsi-admin@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/26/2023,12/26/2023,12/26/2023,Viber,LORENZO SHIPPING,,LORCON DUMAGUETE,Local,12/28/2023,DAVAO,SASA,Docking / Undocking,MMSI,1/2/1900,12/26/2023, ,,,mmsi-admin@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/27/2023,12/27/2023,12/27/2023,Call,LORENZO SHIPPING,,LORCON DUMAGUETE,Local,12/27/2023,DAVAO,Kudos,Towing,MMSI,1/1/1900,12/27/2023,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/27/2023,12/27/2023,12/27/2023,Call,LORENZO SHIPPING,,LORCON DUMAGUETE,Local,12/27/2023,DAVAO,Kudos,Docking / Undocking,MMSI,1/2/1900,12/27/2023,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/27/2023,12/27/2023,12/29/2023,Email,Mar-Ships,,MV Southern Beluga,Foreign,12/30/2023,DAVAO,Seaoil,Docking / Undocking,MMSI,1/2/1900,12/27/2023,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/27/2023,12/27/2023,12/30/2023,Email,OMS,,MV FU ZHI - 2320,Foreign,12/30/2023,DAVAO,Sasa,Docking / Undocking,MMSI,1/2/1900,12/27/2023,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/27/2023,12/27/2023,12/31/2023,Call,2go,,San Rafael Dos / Voy 21,Local,12/31/2023,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,12/27/2023,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/28/2023,12/28/2023,12/28/2023,Call,GAC,,Blue Akahibara,Foreign,12/28/2023,Davao,Sasa,Docking / Undocking,MMSI,1/3/1900,12/28/2023,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/29/2023,12/29/2023,12/29/2023,Call,IOC,,Ava,Local,12/29/2023,Davao,IOC,Docking / Undocking,MMSI,1/2/1900,12/29/2023,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/29/2023,12/29/2023,12/29/2023,Call,IOC,,Ava,Local,12/29/2023,Davao,IOC,Tending,MMSI,1/1/1900,12/29/2023,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/29/2023,12/29/2023,12/29/2023,Call,Clio,,Leila Tocihgi,Foreign,12/29/2023,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,12/29/2023,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/29/2023,12/29/2023,1/2/2024,Email,ND Holdings,,Cala Piccola / 23-18B,Foreign,1/2/2024,Davao,Craft Haven,Docking / Undocking,MMSI,1/2/1900,12/29/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/30/2023,12/30/2023,1/6/2023,Viber,JC&V,,MV PETALON / VOY 6,Foreign,1/6/2023,Davao,"TSI,Sta Cruz",Docking / Undocking,MMSI,1/2/1900,12/30/2023,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/30/2023,12/30/2023,12/30/2023,Call,Lorenzo,,Rasalas,Local,12/30/2023,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,12/30/2023,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
12/30/2023,12/30/2023,1/1/2024,SMS,Gothong,,Don Alfredo Sr3 / Voy 49,Local,1/1/2024,Davao,KTC,Docking / Undocking,MMSI,1/1/1900,12/30/2023,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/2/2024,1/2/2024,1/2/2024,SMS,OMS,,MV Fu Zhi,Foreign,1/2/2024,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,1/2/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/2/2024,1/2/2024,1/2/2024,SMS,NARRA TANKERS,,NTC FALCON,Local,1/4/2024,Davao,PETRON,Docking / Undocking,MMSI,1/2/1900,1/2/2024,,,,mmsi-admin@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/3/2024,1/3/2024,1/12/2024,Viber,JC&V,,MV NORD AQUARIUS,Foreign,1/12/2024,Davao,TSI,Docking / Undocking,MMSI,1/2/1900,1/3/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/3/2024,1/3/2024,1/4/2024,SMS,Gothong,,MV Don Ceferino Alfredo / V 37,Local,1/4/2024,Dacao,KTC,Docking / Undocking,MMSI,1/1/1900,1/3/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
