date1,time1,date2,time2,tug,client,vessel,terminal,act,dur,
12/01/2024,09:00,12/01/2024,10:20,PANAY GULF,,MV THAI BINH 02,DAVAO_SASA PORT,DOCKING,1.33,ex-Legaspi
12/01/2024,08:30,12/01/2024,10:30,CEBU STRAIT,,MV THAI BINH 02,DAVAO_SASA PORT,DOCKING,2.00,ex-SRDC
12/05/2024,17:55,12/05/2024,19:15,BOHOL SEA,,GENERAL NATIVIDAD,DAVAO_SASA PORT,DOCKING,1.33,ex-Kudos
12/05/2024,18:05,12/05/2024,19:20,PANAY GULF,,GENERAL NATIVIDAD,DAVAO_SASA PORT,DOCKING,1.25,ex-Kudos
12/06/2024,06:55,12/06/2024,07:55,BOHOL SEA,,GENERAL NATIVIDAD,DAVAO_SASA PORT,UNDOCKING,1.00,ex-Legaspi
12/06/2024,07:20,12/06/2024,07:50,PANAY GULF,,GENERAL NATIVIDAD,DAVAO_SASA PORT,UNDOCKING,0.50,ex-Legaspi
12/09/2024,15:30,12/09/2024,16:35,BOHOL SEA,,MV THAI BINH 02,DAVAO_SASA PORT,UNDOCKING,1.08,ex-Legaspi
12/09/2024,15:35,12/09/2024,16:35,CEBU STRAIT,,MV THAI BINH 02,DAVAO_SASA PORT,UNDOCKING,1.00,ex-Legaspi
12/12/2024,00:05,12/12/2024,00:55,BOHOL SEA,,MV LORCON DUMAGUETE,DAVAO_SASA PORT,DOCKING,0.83,ex-Legaspi
12/12/2024,00:10,12/12/2024,01:00,CEBU STRAIT,,MV LORCON DUMAGUETE,DAVAO_SASA PORT,DOCKING,0.83,ex-Legaspi
12/12/2024,21:35,12/12/2024,22:30,BOHOL SEA,,MV LORCON DUMAGUETE,DAVAO_SASA PORT,UNDOCKING,0.92,ex-Legaspi
12/12/2024,21:30,12/12/2024,22:30,CEBU STRAIT,,MV LORCON DUMAGUETE,DAVAO_SASA PORT,UNDOCKING,1.00,ex-Legaspi
12/25/2024,19:00,12/25/2024,20:30,AMATA MARU,,LORCON GENERAL SANTOS,DAVAO_SASA PORT,DOCKING,1.50,ex-Legaspi
12/25/2024,19:05,12/25/2024,20:30,CEBU STRAIT,,LORCON GENERAL SANTOS,DAVAO_SASA PORT,DOCKING,1.42,ex-Legaspi
12/27/2024,00:30,12/27/2024,01:30,BOHOL SEA,,LORCON GENERAL SANTOS,DAVAO_SASA PORT,UNDOCKING,1.00,ex-Legaspi
12/27/2024,00:25,12/27/2024,01:35,CEBU STRAIT,,LORCON GENERAL SANTOS,DAVAO_SASA PORT,UNDOCKING,1.17,ex-Legaspi
01/08/2025,05:15,01/08/2025,06:30,PANAY GULF,,MV LORCON DUMAGUETE,DAVAO_SASA PORT,DOCKING,1.25,ex-Legaspi
01/08/2025,04:35,01/08/2025,06:40,AMATA MARU,,MV LORCON DUMAGUETE,DAVAO_SASA PORT,DOCKING,2.08,ex-Legaspi
01/08/2025,21:35,01/08/2025,22:45,PANAY GULF,,MV LORCON DUMAGUETE,DAVAO_SASA PORT,UNDOCKING,1.17,ex-IOC
01/08/2025,21:30,01/08/2025,22:45,AMATA MARU,,MV LORCON DUMAGUETE,DAVAO_SASA PORT,UNDOCKING,1.25,ex-IOC
01/16/2025,17:10,01/16/2025,19:45,BOHOL SEA,,MV AN CHANG,DAVAO_SASA PORT,DOCKING,2.58,ex-IOC
01/16/2025,17:10,01/16/2025,19:35,CEBU STRAIT,,MV AN CHANG,DAVAO_SASA PORT,DOCKING,2.42,ex-Legaspi
01/16/2025,17:00,01/16/2025,19:30,PANAY GULF,,MV AN CHANG,DAVAO_SASA PORT,DOCKING,2.50,ex-Legaspi
01/17/2025,20:40,01/17/2025,21:55,BOHOL SEA,,MV RASALAS,DAVAO_SASA PORT,DOCKING,1.25,ex-Legaspi
01/17/2025,20:45,01/17/2025,22:00,CEBU STRAIT,,MV RASALAS,DAVAO_SASA PORT,DOCKING,1.25,ex-Legaspi
01/18/2025,13:15,01/18/2025,14:05,PANAY GULF,,MV RASALAS,DAVAO_SASA PORT,UNDOCKING,0.83,ex-Global Port
01/18/2025,13:20,01/18/2025,14:10,CEBU STRAIT,,MV RASALAS,DAVAO_SASA PORT,UNDOCKING,0.83,ex-Legaspi
01/19/2025,17:55,01/19/2025,19:45,PANAY GULF,,MV FULVIA,DAVAO_SASA PORT,DOCKING,1.83,ex-Holcim
01/19/2025,18:00,01/19/2025,19:50,CEBU STRAIT,,MV FULVIA,DAVAO_SASA PORT,DOCKING,1.83,ex-Holcim
01/21/2025,19:30,01/21/2025,21:00,AMATA MARU,,MV AN CHANG,DAVAO_SASA PORT,UNDOCKING,1.50,ex-Legaspi
01/21/2025,19:50,01/21/2025,22:20,BOHOL SEA,,MV CAMBERWELL,DAVAO_SASA PORT,DOCKING,2.50,ex-Legaspi
01/21/2025,19:30,01/21/2025,20:50,PANAY GULF,,MV AN CHANG,DAVAO_SASA PORT,UNDOCKING,1.33,ex-Legaspi
01/21/2025,19:50,01/21/2025,22:35,CEBU STRAIT,,MV CAMBERWELL,DAVAO_SASA PORT,DOCKING,2.75,ex-Legaspi
01/22/2025,04:30,01/22/2025,05:35,BOHOL SEA,,MV FULVIA,DAVAO_SASA PORT,UNDOCKING,1.08,ex-Legaspi
01/22/2025,04:20,01/22/2025,05:30,CEBU STRAIT,,MV FULVIA,DAVAO_SASA PORT,UNDOCKING,1.17,ex-Legaspi
01/23/2025,17:20,01/23/2025,19:45,BOHOL SEA,CLIO SHIPPING AND LOGISTICS PHILS. INC,MV FU XING LUN,DAVAO_SASA PORT,DOCKING,2.42,ex-Legaspi
01/23/2025,17:25,01/23/2025,19:45,CEBU STRAIT,CLIO SHIPPING AND LOGISTICS PHILS. INC,MV FU XING LUN,DAVAO_SASA PORT,DOCKING,2.33,ex-Legaspi
01/25/2025,19:00,01/25/2025,19:55,PANAY GULF,CLIO SHIPPING AND LOGISTICS PHILS. INC,MV FU XING LUN,DAVAO_SASA PORT,UNDOCKING,0.92,ex-IOC
