,TERMINAL,VESSEL TYPE,SERVICE,MMSI,PRS,VENUS,ASSIST TOW,METRO CEBU,DGM,MTSC,DAVAO PILOT,NHTC,FORTIS,AGUILAR,P7,TRANSCOASTAL
,BATANGAS_ATI,FOREIGN,DOCKING & UNDOCKING,"35,000.00 + BAF / HR",,,,,,,,,,,,
,BATANGAS_BATANGAS SHIPYARD CORP.,LOCAL,"DOCKING, UNDOCKING, & SHIFTING","25,000.00 + BAF / HR",,,,,,,,,,,,
,BATANGAS_CHEVRON BATANGAS,LOCAL,DOCKING,"28,000.00 D / 23,000.00 UN",,,,,,,,,,,,
,BATANGAS_COCOCHEM TERMINAL,FOREIGN,,,,,,,,,,,,,,
,BATANGAS_FGEN LNG TERMINAL,,,,,,,,,,,,,,,
,BATANGAS_PETRON MABINI,,,,,,,,,,,,,,,
,BATANGAS_SEAOIL MABINI,,,,,,,,,,,,,,,
,BATANGAS_SINISIAN LEMERY BATANGAS PORT,,,,,,,,,,,,,,,
,BATANGAS_SRDC BATANGAS,,,,,,,,,,,,,,,
,CDO_PDOC,,,,,,,,,,,,,,,
,CEBU_SPEC PITALO,LOCAL,DOCKING & UNDOCKING,,,,,"65,000.00 / MOVE",,,,,,,,
,CEBU_SRDC LAPU LAPU,,,,,,,,,,,,,,,
,DAVAO_DBCOM,,,,,,,,,,,,,,,
,DAVAO_DMPTI,,,,,,,,,,,,,,,
,DAVAO_HOLCIM,,,,,,,,,,,,,,,
,DAVAO_INSULAR OIL,,,,,,,,,,,,,,,
,DAVAO_KTC,,,,,,,,,,,,,,,
,DAVAO_KUDOS,,,,,,,,,,,,,,,
,DAVAO_LEGASPI OIL,,,,,,,,,,,,,,,
,DAVAO_NEW DAVAO OIL MILL,,,,,,,,,,,,,,,
,DAVAO_PETRON SASA,,,,,,,,,,,,,,,
,DAVAO_PHOENIX SASA,,,,,,,,,,,,,,,
,DAVAO_SASA PORT,,,,,,,,,,,,,,,
,DAVAO_SHELL SASA,,,,,,,,,,,,,,,
,DAVAO_SOUTHERN CONCRETE INDUSTRY INC.,,,,,,,,,,,,,,,
,DAVAO_SRDC SASA,,,,,,,,,,,,,,,
,DAVAO_TEFASCO,,,,,,,,,,,,,,,
,DAVAO_THERMA SOUTH,,,,,,,,,,,,,,,
,GENSAN_GENSAN SHIPYARD,,,,,,,,,,,,,,,
,GENSAN_PHOENIX GENSAN,,,,,,,,,,,,,,,
,JIMENEZ_PALILAN OIL DEPOT CORPORATION,,,,,,,,,,,,,,,
,JIMENEZ_SRDC JIMENEZ,,,,,,,,,,,,,,,
,LEYTE_VISPET,,,,,,,,,,,,,,,
,SUBIC_COASTAL,,,,,,,,,,,,,,,
,SUBIC_PPC TERMINAL,,,,,,,,,,,,,,,
,SURIGAO_CORALES DEPOT,,,,,,,,,,,,,,,
