Vessel #,Vessel,,,,
0001,BRP GREGORIO VELASQUEZ,BRP GREGORIO VELASQUEZ_[0001],,,0001
0002,BRP RAMON ALCARAZ,BRP RAMON ALCARAZ_[0002],,,0002
0003,DERYOUNG SUNFLOWER,DERYOUNG SUNFLOWER_[0003],,,0003
0004,MT FATIME,MT FATIME_[0004],,,0004
0005,MT PLUMERIA CORAL,MT PLUMERIA CORAL_[0005],,,0005
0006,LPG ST HARMONY,LPG ST HARMONY_[0006],,,0006
0007,MARITIME COMMITY,MARITIME COMMITY_[0007],,,0007
0008,MT ALICE DL,MT ALICE DL_[0008],,,0008
0009,MT AVA,MT AVA_[0009],,,0009
0010,MT BULUSAN,MT BULUSAN_[0010],,,0010
0011,MT ORKIM FORTITUDE,MT ORKIM FORTITUDE_[0011],,,0011
0012,MT REDWOOD MARINER,MT REDWOOD MARINER_[0012],,,0012
0013,MT RIDGEBURY BIRCH,MT RIDGEBURY BIRCH_[0013],,,0013
0014,MT SAMAL ISLAND,MT SAMAL ISLAND_[0014],,,0014
0015,MV HAMMONIA BEROLINA,MV HAMMONIA BEROLINA_[0015],,,0015
0016,MV J PEACE,MV J PEACE_[0016],,,0016
0017,MV SAN RAFAEL DOS,MV SAN RAFAEL DOS_[0017],,,0017
0018,MV SHUN SHIANG,MV SHUN SHIANG_[0018],,,0018
0019,MV SHUN XIANG,MV SHUN XIANG_[0019],,,0019
0020,MV ZEBRA,MV ZEBRA_[0020],,,0020
0021,SL NARRA,SL NARRA_[0021],,,0021
0022,TLC 01,TLC 01_[0022],,,0022
0023,LPG DL ZINNIA,LPG DL ZINNIA_[0023],,,0023
0024,MV KOOKYANG EXPRESS,MV KOOKYANG EXPRESS_[0024],,,0024
0025,MV CH DORIS,MV CH DORIS_[0025],,,0025
0026,MV CH DORIS,MV CH DORIS_[0026],,,0026
0027,MV VENUS,MV VENUS_[0027],,,0027
0028,MT PELAGIC TARPON,MT PELAGIC TARPON_[0028],,,0028
0029,MT BULUSAN II,MT BULUSAN II_[0029],,,0029
0030,MT MARLIN AMETHYST,MT MARLIN AMETHYST_[0030],,,0030
0031,MT CASANDRA,MT CASANDRA_[0031],,,0031
0032,MV ISHIZUCHI STAR,MV ISHIZUCHI STAR_[0032],,,0032
0033,MTKR HELANE,MTKR HELANE_[0033],,,0033
0034,MV UNIVERSE WEALTHY,MV UNIVERSE WEALTHY_[0034],,,0034
0035,MT DOCOMO,MT DOCOMO_[0035],,,0035
0036,MTKR VL 23,MTKR VL 23_[0036],,,0036
0037,MTKR NIKOS M,MTKR NIKOS M_[0037],,,0037
0038,MV TUAN DUNG 36,MV TUAN DUNG 36_[0038],,,0038
0039,MV JOSCO NANJING,MV JOSCO NANJING_[0039],,,0039
0040,MV MALACCA STRAIT,MV MALACCA STRAIT_[0040],,,0040
0041,MT GOTLAND ALIYA,MT GOTLAND ALIYA_[0041],,,0041
0042,MT EASTERN IRIS,MT EASTERN IRIS_[0042],,,0042
0043,MV ANNIE SILMER,MV ANNIE SILMER_[0043],,,0043
0044,MV OUPULAI 18,MV OUPULAI 18_[0044],,,0044
0045,MT CHANG HANG LAN JING,MT CHANG HANG LAN JING_[0045],,,0045
0046,MV OCEAN BRIGHT,MV OCEAN BRIGHT_[0046],,,0046
0047,MT CRIMSON JADE,MT CRIMSON JADE_[0047],,,0047
0048,MV HAI HA 58,MV HAI HA 58_[0048],,,0048
0049,MV EAST BANGKOK,MV EAST BANGKOK_[0049],,,0049
0050,MV MERIDIAN CINCO,MV MERIDIAN CINCO_[0050],,,0050
0051,MV LORCON DUMAGUETE,MV LORCON DUMAGUETE_[0051],,,0051
0052,MV WAN HE,MV WAN HE_[0052],,,0052
0053,MT HANSA SEA LEADER,MT HANSA SEA LEADER_[0053],,,0053
0054,MT YONG FENG SHUN,MT YONG FENG SHUN_[0054],,,0054
0055,MT WAWASAN TOPAZ,MT WAWASAN TOPAZ_[0055],,,0055
0056,MV GLOBE 6,MV GLOBE 6_[0056],,,0056
0057,MV FLC LONGEVITY,MV FLC LONGEVITY_[0057],,,0057
0058,MT ALBERT DL,MT ALBERT DL_[0058],,,0058
0059,MV GOLDEN LOTUS,MV GOLDEN LOTUS_[0059],,,0059
0060,MTKR ST. NICOLAS,MTKR ST. NICOLAS_[0060],,,0060
0061,MTKR PLUMERIA CORAL,MTKR PLUMERIA CORAL_[0061],,,0061
0062,MV HAI BIN 16,MV HAI BIN 16_[0062],,,0062
0063,MT GOLDEN OCEAN 26,MT GOLDEN OCEAN 26_[0063],,,0063
0064,MV MERIDIAN DOS,MV MERIDIAN DOS_[0064],,,0064
0065,BARGE AO1,BARGE AO1_[0065],,,0065
0066,HOYA GRACE,HOYA GRACE_[0066],,,0066
0067,MV TTC HAI PHONG,MV TTC HAI PHONG_[0067],,,0067
0068,MV ER MADEN,MV ER MADEN_[0068],,,0068
0069,MV OCEAN GRACE,MV OCEAN GRACE_[0069],,,0069
0070,MV OCEAN CRYSTAL,MV OCEAN CRYSTAL_[0070],,,0070
0071,MV LONG TAN 239,MV LONG TAN 239_[0071],,,0071
0072,MV XING NING HAI,MV XING NING HAI_[0072],,,0072
0073,MTKR ATLANTIC BREEZE,MTKR ATLANTIC BREEZE_[0073],,,0073
0074,MV J. LUCK,MV J. LUCK_[0074],,,0074
