,Foreign,Foreign,Foreign,Local,Local,Local
,DOCKING_[001],UNDOCKING_[002],TENDING_[010],DOCKING_[001],UNDOCKING_[002],TENDING_[010]
AMATA MARU_[001],41,38,210.75,63,64,27.33
BOHOL SEA_[002],56,59,0.00,32,32,0.00
CEBU STRAIT_[003],65,75,43906.17,33,36,0.00
PANAY GULF_[056],20,18,0.00,34,29,0.00
LAKANDULA_[011],0,0,26.83,0,0,129.83
TABANGAO_[018],4,4,0.00,5,5,0.00
HOKUTO_[078],8,9,53.25,11,10,0.00
CHOKWANG_[049],11,9,0.00,26,27,0.00
SUN JIN NO.505_[076],8,7,129.10,10,11,31.08
PALDO_[101],4,7,0.00,29,26,0.00
SUJEONG_[100],22,27,51.75,16,16,32.25
TUG 20_[071],1,2,-10.08,2,2,75.37
