RECID,BILLNUM,DISPATCHNU,RATE,AMOUNT,ACTIVE,CREATEDDAT,CREATEDBY
45,1848,25965,26784.0,31337.28,True,2022-10-20 11:59:00,2364
46,1848,25966,26784.0,60264.0,True,2022-10-20 11:59:00,2364
47,1848,26178,26784.0,55710.72,True,2022-10-20 11:59:00,2364
48,1848,26180,26784.0,28926.72,True,2022-10-20 11:59:00,2364
49,1848,26220,26784.0,78209.28,True,2022-10-20 11:59:00,2364
50,1848,26221,26784.0,38033.28,True,2022-10-20 11:59:00,2364
51,1849,25967,265.25,8930.97,True,2022-10-20 12:11:57,2364
52,1849,26179,265.25,8952.19,True,2022-10-20 12:11:57,2364
53,1856,2903,28366.25,28366.25,True,2022-10-25 12:28:23,1790
54,1856,2904,28366.25,28366.25,True,2022-10-25 12:28:23,1790
55,1856,2905,33678.4,33678.4,True,2022-10-25 12:28:23,1790
56,1856,2906,33678.4,33678.4,True,2022-10-25 12:28:23,1790
57,1857,2915,33678.4,33678.4,True,2022-10-25 13:25:34.999000,2364
58,1857,2916,33678.4,33678.4,True,2022-10-25 13:25:34.999000,2364
59,1857,2919,35770.28,35770.28,True,2022-10-25 13:25:34.999000,2364
60,1857,2920,35770.28,35770.28,True,2022-10-25 13:25:34.999000,2364
61,1873,3041,11237.5,25284.38,True,2022-11-02 11:48:54.999000,2364
62,1873,3042,11237.5,16856.25,True,2022-11-02 11:48:54.999000,2364
63,1873,3316,11237.5,26183.38,True,2022-11-02 11:48:54.999000,2364
64,1873,3318,11237.5,22475.0,True,2022-11-02 11:48:54.999000,2364
65,,3315,11237.5,26183.38,False,2022-11-02 12:57:13,2364
66,1874,03315,11237.5,26183.83,True,2022-11-02 15:49:27.999000,1790
67,1896,26265,26102.0,34715.06,True,2022-11-14 11:50:23.999000,2364
68,1896,26266,26102.0,26102.0,True,2022-11-14 11:50:23.999000,2364
69,1896,26303,26102.0,43590.34,True,2022-11-14 11:50:23.999000,2364
70,1896,26304,26102.0,26102.0,True,2022-11-14 11:50:23.999000,2364
71,1896,26406,26102.0,34715.06,True,2022-11-14 11:50:23.999000,2364
72,1896,26408,26102.0,26102.0,True,2022-11-14 11:50:23.999000,2364
73,1897,26267,238.85,7662.31,True,2022-11-14 11:54:39,2364
74,1897,26407,238.85,7602.6,True,2022-11-14 11:54:39,2364
75,1900,3185,13780.37,34450.92,True,2022-11-15 16:39:54.999000,2364
76,1900,3186,13780.37,34450.92,True,2022-11-15 16:39:54.999000,2364
77,1900,3192,13780.37,34450.92,True,2022-11-15 16:39:54.999000,2364
78,1900,3193,13780.37,34450.92,True,2022-11-15 16:39:54.999000,2364
79,1903,2595,9272.1,16226.18,True,2022-11-16 15:22:08.999000,2364
80,1903,2627,9272.1,16967.94,True,2022-11-16 15:22:08.999000,2364
81,1903,4979,11085.6,13857.0,True,2022-11-16 15:22:08.999000,2364
82,1910,2754,12164.4,30411.0,True,2022-11-22 15:01:51.999000,2364
83,1910,3053,12164.4,30411.0,True,2022-11-22 15:01:51.999000,2364
84,1910,3054,12164.4,30411.0,True,2022-11-22 15:01:51.999000,2364
85,1910,3164,12164.4,30411.0,True,2022-11-22 15:01:51.999000,2364
86,1910,3368,12164.4,30411.0,True,2022-11-22 15:01:51.999000,2364
87,1910,3372,12164.4,30411.0,True,2022-11-22 15:01:51.999000,2364
88,1911,2753,470.88,13853.29,True,2022-11-22 15:04:55,2364
89,1911,3373,470.88,13853.29,True,2022-11-22 15:04:55,2364
90,1912,3163,12164.4,30411.0,True,2022-11-22 15:12:36.999000,2364
91,,3370,12164.4,6082.2,False,2022-11-25 09:30:30,2364
92,1922,2758,12080.7,30201.75,True,2022-11-25 10:24:18,2364
93,1922,3400,12080.7,30201.75,True,2022-11-25 10:24:18,2364
94,1922,3859,12080.7,30201.75,True,2022-11-25 10:24:18,2364
95,1922,3884,12080.7,30201.75,True,2022-11-25 10:24:18,2364
96,1922,3885,12080.7,30201.75,True,2022-11-25 10:24:18,2364
97,1922,3887,12080.7,30201.75,True,2022-11-25 10:24:18,2364
98,1924,3857,12164.4,30411.0,True,2022-11-25 10:28:23.999000,2364
99,1923,3886,467.64,11653.59,True,2022-11-25 10:43:58,2364
100,1923,3888,467.64,11653.59,True,2022-11-25 10:43:58,2364
101,1925,3115,10251.7,11994.49,True,2022-11-25 11:00:05.999000,2364
102,1925,3378,10251.7,14557.41,True,2022-11-25 11:00:05.999000,2364
103,1925,3475,10846.9,18982.08,True,2022-11-25 11:00:05.999000,2364
104,1925,5106,10846.9,25273.28,True,2022-11-25 11:00:05.999000,2364
105,1926,3114,10846.9,23537.77,True,2022-11-25 11:02:06,2364
106,1935,3046,13780.37,34450.92,True,2022-12-01 10:23:06.999000,2364
107,1935,3047,13780.37,34450.92,True,2022-12-01 10:23:06.999000,2364
108,1935,3177,13967.86,34919.64,True,2022-12-01 10:23:06.999000,2364
109,1935,3178,13967.86,34919.64,True,2022-12-01 10:23:06.999000,2364
110,1945,26294,23498.0,39241.66,True,2022-12-07 09:38:56.999000,2364
111,1945,26296,23498.0,31252.34,True,2022-12-07 09:38:56.999000,2364
112,1945,26319,23498.0,41121.5,True,2022-12-07 09:38:56.999000,2364
113,1945,26320,23498.0,31252.34,True,2022-12-07 09:38:56.999000,2364
114,1945,26428,23498.0,37126.84,True,2022-12-07 09:38:56.999000,2364
115,1945,26430,23498.0,23498.0,True,2022-12-07 09:38:56.999000,2364
116,1946,26295,177.95,6776.34,True,2022-12-07 09:41:03.999000,2364
117,1946,26429,177.95,6762.1,True,2022-12-07 09:41:03.999000,2364
118,1973,2934,27619.76,27619.76,True,2022-12-20 09:59:50.999000,2364
