RECID,BILLNUM,DISPATCHNU,RATE,AMOUNT,APOTHERTUG,ACTIVE,CREATEDDAT,CREATEDBY
70,1833,26096,35000.0,35000.0,0.0,True,2022-10-13 13:25:31,2364
71,1833,26097,35000.0,35000.0,0.0,True,2022-10-13 13:25:31,2364
72,1833,26160,35000.0,35000.0,0.0,True,2022-10-13 13:25:31,2364
73,1833,26162,35000.0,35000.0,0.0,True,2022-10-13 13:25:31,2364
74,1834,26161,22000.0,374000.0,0.0,True,2022-10-13 13:26:53,2364
75,1835,25956,52000.0,52000.0,0.0,True,2022-10-13 13:28:13,2364
76,1835,25957,52000.0,52000.0,0.0,True,2022-10-13 13:28:13,2364
77,1835,26098,52000.0,52000.0,0.0,True,2022-10-13 13:28:13,2364
78,1835,26099,52000.0,52000.0,0.0,True,2022-10-13 13:28:13,2364
79,1836,26100,35000.0,35000.0,0.0,True,2022-10-13 13:31:38.999000,2364
80,1836,26163,35000.0,35000.0,0.0,True,2022-10-13 13:31:38.999000,2364
81,1836,26164,35000.0,35000.0,0.0,True,2022-10-13 13:31:38.999000,2364
82,1836,26202,35000.0,35000.0,0.0,True,2022-10-13 13:31:38.999000,2364
83,1837,026204,35000.0,35000.0,0.0,True,2022-10-13 14:06:57.999000,2364
84,1837,026205,35000.0,35000.0,0.0,True,2022-10-13 14:06:57.999000,2364
85,1837,26165,35000.0,35000.0,0.0,True,2022-10-13 14:06:57.999000,2364
86,1837,26167,35000.0,35000.0,0.0,True,2022-10-13 14:06:57.999000,2364
87,1838,026166,22000.0,418000.0,0.0,True,2022-10-13 14:07:34,2364
88,1839,26168,35000.0,35000.0,0.0,True,2022-10-13 14:11:10.999000,2364
89,1839,26169,35000.0,35000.0,0.0,True,2022-10-13 14:11:10.999000,2364
90,1839,26206,35000.0,35000.0,0.0,True,2022-10-13 14:11:10.999000,2364
91,1839,26207,35000.0,35000.0,0.0,True,2022-10-13 14:11:10.999000,2364
92,1840,25959,53943.5,53943.5,0.0,True,2022-10-13 14:20:56,2364
93,1840,25960,53943.5,53943.5,0.0,True,2022-10-13 14:20:56,2364
94,1840,26203,53943.5,53943.5,0.0,True,2022-10-13 14:20:56,2364
95,1840,26208,53943.5,53943.5,0.0,True,2022-10-13 14:20:56,2364
96,1841,25958,54083.0,54083.0,0.0,True,2022-10-13 14:53:31,1790
97,1841,25962,54083.0,54083.0,0.0,True,2022-10-13 14:53:31,1790
98,1841,26201,54083.0,54083.0,0.0,True,2022-10-13 14:53:31,1790
99,1841,26211,54083.0,54083.0,0.0,True,2022-10-13 14:53:31,1790
100,1842,25961,53943.5,53943.5,0.0,True,2022-10-17 16:40:20,2364
101,1842,25963,53943.5,53943.5,0.0,True,2022-10-17 16:40:20,2364
102,1842,26209,53943.5,53943.5,0.0,True,2022-10-17 16:40:20,2364
103,1842,26214,53943.5,53943.5,0.0,True,2022-10-17 16:40:20,2364
104,1843,26170,35000.0,35000.0,0.0,True,2022-10-17 16:42:00.999000,2364
105,1843,26172,35000.0,35000.0,0.0,True,2022-10-17 16:42:00.999000,2364
106,1843,26212,35000.0,35000.0,0.0,True,2022-10-17 16:42:00.999000,2364
107,1843,26213,35000.0,35000.0,0.0,True,2022-10-17 16:42:00.999000,2364
108,1844,26171,22000.0,366666.67,0.0,True,2022-10-17 16:52:29,2364
109,1845,26173,35000.0,35000.0,0.0,True,2022-10-17 17:03:37,2364
110,1845,26174,35000.0,35000.0,0.0,True,2022-10-17 17:03:37,2364
111,1845,26215,35000.0,35000.0,0.0,True,2022-10-17 17:03:37,2364
112,1845,26216,35000.0,35000.0,0.0,True,2022-10-17 17:03:37,2364
113,1846,26175,35000.0,35000.0,0.0,True,2022-10-17 17:04:45.999000,2364
114,1846,26177,35000.0,35000.0,0.0,True,2022-10-17 17:04:45.999000,2364
115,1846,26217,35000.0,35000.0,0.0,True,2022-10-17 17:04:45.999000,2364
116,1846,26218,35000.0,35000.0,0.0,True,2022-10-17 17:04:45.999000,2364
117,1847,26176,22000.0,293333.33,0.0,True,2022-10-17 17:06:25,2364
118,1848,25965,30120.0,35240.4,0.0,True,2022-10-20 11:57:30,2364
119,1848,25966,30120.0,67770.0,0.0,True,2022-10-20 11:57:30,2364
120,1848,26178,30120.0,62649.6,0.0,True,2022-10-20 11:57:30,2364
121,1848,26180,30120.0,32529.6,0.0,True,2022-10-20 11:57:30,2364
122,1848,26220,30120.0,87950.4,0.0,True,2022-10-20 11:57:30,2364
123,1848,26221,30120.0,42770.4,0.0,True,2022-10-20 11:57:30,2364
124,1849,25967,22000.0,740740.0,0.0,True,2022-10-20 12:10:31.999000,2364
125,1849,26179,22000.0,742500.0,0.0,True,2022-10-20 12:10:31.999000,2364
126,1850,07366,55000.0,55000.0,35000.0,True,2022-10-20 14:12:02.999000,2364
127,1850,7371,55000.0,55000.0,35000.0,True,2022-10-20 14:12:02.999000,2364
128,1851,26181,35000.0,35000.0,0.0,True,2022-10-25 09:39:23,2364
129,1851,26182,35000.0,35000.0,0.0,True,2022-10-25 09:39:23,2364
130,1851,26222,35000.0,35000.0,0.0,True,2022-10-25 09:39:23,2364
131,1851,26223,35000.0,35000.0,0.0,True,2022-10-25 09:39:23,2364
132,1852,26183,35000.0,35000.0,0.0,True,2022-10-25 09:42:22,2364
133,1852,26185,35000.0,35000.0,0.0,True,2022-10-25 09:42:22,2364
134,1852,26224,35000.0,35000.0,0.0,True,2022-10-25 09:42:22,2364
135,1852,26225,35000.0,35000.0,0.0,True,2022-10-25 09:42:22,2364
136,1853,26184,22000.0,500500.0,0.0,True,2022-10-25 09:43:11.999000,2364
137,1854,25969,35000.0,96250.0,0.0,True,2022-10-25 09:53:30,2364
138,1854,25970,35000.0,198450.0,0.0,True,2022-10-25 09:53:30,2364
139,1854,26227,35000.0,107800.0,0.0,True,2022-10-25 09:53:30,2364
140,1854,26228,35000.0,210000.0,0.0,True,2022-10-25 09:53:30,2364
141,1855,25090,563500.0,563500.0,0.0,True,2022-10-25 10:15:27.999000,2364
142,1855,25091,563500.0,563500.0,0.0,True,2022-10-25 10:15:27.999000,2364
143,1856,2903,35000.0,35000.0,24000.0,True,2022-10-25 12:27:14.999000,1790
144,1856,2904,35000.0,35000.0,24000.0,True,2022-10-25 12:27:14.999000,1790
145,1856,2905,35000.0,35000.0,24000.0,True,2022-10-25 12:27:14.999000,1790
146,1856,2906,35000.0,35000.0,24000.0,True,2022-10-25 12:27:14.999000,1790
147,1857,2915,35000.0,35000.0,24000.0,True,2022-10-25 13:22:47,2364
148,1857,2916,35000.0,35000.0,24000.0,True,2022-10-25 13:22:47,2364
149,1857,2919,35000.0,35000.0,24000.0,True,2022-10-25 13:22:47,2364
150,1857,2920,35000.0,35000.0,24000.0,True,2022-10-25 13:22:47,2364
151,1858,25975,55943.0,55943.0,0.0,True,2022-10-27 08:54:51.999000,2364
152,1858,25976,55943.0,55943.0,0.0,True,2022-10-27 08:54:51.999000,2364
153,1858,26233,55943.0,55943.0,0.0,True,2022-10-27 08:54:51.999000,2364
154,1858,26234,55943.0,55943.0,0.0,True,2022-10-27 08:54:51.999000,2364
155,1859,25973,52000.0,52000.0,0.0,True,2022-10-27 09:56:24.999000,2364
156,1859,25974,52000.0,52000.0,0.0,True,2022-10-27 09:56:24.999000,2364
157,1859,26231,52000.0,52000.0,0.0,True,2022-10-27 09:56:24.999000,2364
158,1859,26232,52000.0,52000.0,0.0,True,2022-10-27 09:56:24.999000,2364
159,1860,25964,55943.0,55943.0,0.0,True,2022-10-27 11:07:40,2364
160,1860,25972,55943.0,55943.0,0.0,True,2022-10-27 11:07:40,2364
161,1860,26219,55943.0,55943.0,0.0,True,2022-10-27 11:07:40,2364
162,1860,26230,55943.0,55943.0,0.0,True,2022-10-27 11:07:40,2364
163,1861,025979,52000.0,52000.0,0.0,True,2022-10-27 15:02:47,2364
164,1861,025980,52000.0,52000.0,0.0,True,2022-10-27 15:02:47,2364
165,1861,026235,52000.0,52000.0,0.0,True,2022-10-27 15:02:47,2364
166,1861,026238,52000.0,52000.0,0.0,True,2022-10-27 15:02:47,2364
167,1862,7375,55000.0,55000.0,35000.0,True,2022-10-27 15:28:11.999000,2364
168,1862,7377,55000.0,55000.0,35000.0,True,2022-10-27 15:28:11.999000,2364
169,1863,25977,55943.0,55943.0,0.0,True,2022-10-27 15:53:23,1790
170,1863,25978,55943.0,55943.0,0.0,True,2022-10-27 15:53:23,1790
171,1864,25968,56563.0,56563.0,0.0,True,2022-10-29 11:07:32,2364
172,1864,25983,56563.0,56563.0,0.0,True,2022-10-29 11:07:32,2364
173,1864,26226,56563.0,56563.0,0.0,True,2022-10-29 11:07:32,2364
174,1864,26242,56563.0,56563.0,0.0,True,2022-10-29 11:07:32,2364
175,1865,25982,56563.0,56563.0,0.0,True,2022-10-29 12:07:25,2364
176,1865,25985,56563.0,56563.0,0.0,True,2022-10-29 12:07:25,2364
177,1865,26241,56563.0,56563.0,0.0,True,2022-10-29 12:07:25,2364
178,1865,26245,56563.0,56563.0,0.0,True,2022-10-29 12:07:25,2364
179,1866,26187,35000.0,35000.0,0.0,True,2022-10-31 15:53:59,2364
180,1866,26188,35000.0,35000.0,0.0,True,2022-10-31 15:53:59,2364
181,1866,26236,35000.0,35000.0,0.0,True,2022-10-31 15:53:59,2364
182,1866,26237,35000.0,35000.0,0.0,True,2022-10-31 15:53:59,2364
