RECID,CRNUM,CRCUST,BILLNUM,BILLCUST,ACTIVE
1,249,0007,269,0007,True
2,250,0007,239,0007,True
3,250,0007,240,0007,True
4,351,0007,232,0007,True
5,351,0007,247,0007,True
6,352,0007,255,0007,True
7,352,0007,256,0007,True
8,353,0007,233,0007,True
9,353,0007,234,0007,True
10,353,0007,238,0007,True
11,354,0007,267,0007,True
12,354,0007,268,0007,True
13,354,0007,270,0007,True
14,355,0007,315,0007,True
15,355,0007,316,0007,True
16,356,0007,272,0007,True
17,356,0007,273,0007,True
18,356,0007,278,0007,True
19,357,0007,312,0007,True
20,357,0007,313,0007,True
21,357,0007,314,0007,True
22,358,0007,296,0007,True
23,358,0007,297,0007,True
24,358,0007,309,0007,True
25,359,0007,275,0007,True
26,359,0007,295,0007,True
27,360,0007,310,0007,True
28,360,0007,311,0007,True
29,361,0007,282,0007,True
30,361,0007,294,0007,True
31,362,0007,322,0007,True
32,363,0007,276,0007,True
33,364,0007,230,0007,True
34,365,0007,280,0007,True
35,365,0007,281,0007,True
36,366,0007,321,0007,True
37,C000001,0001,B000064,0001,True
38,C000002,0043,B000062,0043,True
39,C000003,0043,B000060,0043,True
40,C000004,0043,B000061,0043,True
41,C000005,0043,B000056,0043,True
42,C000006,0027,B000059,0027,True
43,C000007,0052,B000053,0052,True
44,C000008,0052,B000054,0052,True
45,C000009,0052,B000055,0052,True
46,C000010,0052,B000057,0052,True
47,C000011,0052,B000058,0052,True
48,C000012,0023,B000052,0023,True
49,287,0016,284,0016,True
50,398,0051,363,0051,True
51,399,0051,405,0051,True
52,399,0051,406,0051,True
53,0372,0007,371,0007,True
54,0372,0007,372,0007,True
55,0374,0007,365,0007,True
56,0374,0007,366,0007,True
57,0374,0007,367,0007,True
58,0376,0006,402,0006,True
59,0376,0006,403,0006,True
60,0379,0007,346,0007,True
61,0379,0007,347,0007,True
62,0379,0007,361,0007,True
63,0380,0007,368,0007,True
64,0380,0007,369,0007,True
65,0380,0007,370,0007,True
66,0381,0007,359,0007,True
67,0381,0007,374,0007,True
68,0381,0007,401,0007,True
69,0385,0007,342,0007,True
70,0386,0007,414,0007,True
71,0386,0007,415,0007,True
72,0387,0007,411,0007,True
73,0387,0007,412,0007,True
74,0387,0007,413,0007,True
75,0388,0007,423,0007,True
76,0388,0007,424,0007,True
77,0389,0007,407,0007,True
78,0389,0007,408,0007,True
79,0389,0007,410,0007,True
80,0390,0048,404,0048,True
81,0391,0007,439,0007,True
82,0392,0007,455,0007,True
83,0392,0007,456,0007,True
84,0393,0007,444,0007,True
85,0394,0007,442,0007,True
86,0394,0007,443,0007,True
87,0394,0007,454,0007,True
88,0395,0007,437,0007,True
89,0395,0007,438,0007,True
90,0396,0007,440,0007,True
91,0396,0007,441,0007,True
92,0397,0007,435,0007,True
93,0400,0007,431,0007,True
94,0401,0007,462,0007,True
95,0401,0007,463,0007,True
96,0401,0007,471,0007,True
97,0402,0007,432,0007,True
98,0402,0007,433,0007,True
99,0403,0007,422,0007,True
100,0404,0007,445,0007,True
101,0405,0007,409,0007,True
102,0406,0007,482,0007,True
103,0406,0007,483,0007,True
104,0407,0007,498,0007,True
105,0407,0007,499,0007,True
106,0408,0007,487,0007,True
107,0408,0007,488,0007,True
108,0408,0007,489,0007,True
109,0409,0007,473,0007,True
110,0409,0007,474,0007,True
111,0409,0007,475,0007,True
112,0410,0007,460,0007,True
113,0410,0007,461,0007,True
114,0411,0046,420,0046,True
115,0412,0057,419,0057,True
116,0412,0057,421,0057,True
117,C000013,0051,434,0051,True
118,C000014,0004,286,0004,True
119,C000014,0004,287,0004,True
120,C000015,0001,B000066,0001,True
121,0377,0007,335,0007,True
122,0377,0007,336,0007,True
123,0377,0007,345,0007,True
124,C000016,0027,B000074,0027,True
125,C000017,0009,B000067,0009,True
126,C000018,0038,B000072,0038,True
127,C000019,0026,B000073,0026,True
128,C000020,0052,B000070,0052,True
129,C000021,0023,B000063,0023,True
130,0413,0047,303,0047,True
131,0413,0047,304,0047,True
132,0413,0047,307,0047,True
133,0413,0047,323,0047,True
134,0413,0047,327,0047,True
135,0413,0047,328,0047,True
136,0413,0047,329,0047,True
137,0413,0047,337,0047,True
138,0413,0047,341,0047,True
139,0413,0047,343,0047,True
140,0413,0047,357,0047,True
141,0413,0047,425,0047,True
142,0413,0047,426,0047,True
143,0413,0047,427,0047,True
144,0413,0047,428,0047,True
145,0413,0047,429,0047,True
146,0413,0047,430,0047,True
147,C000022,0001,B000090,0001,True
148,C000023,0043,B000094,0043,True
149,C000023,0043,B000095,0043,True
150,C000024,0027,B000076,0027,True
151,C000025,0027,B000080,0027,True
152,C000026,0027,B000084,0027,True
153,C000027,0027,B000101,0027,True
154,C000028,0009,B000075,0009,True
155,C000029,0009,B000078,0009,True
156,C000030,0052,B000093,0052,True
157,C000031,0023,B000085,0023,True
158,C000032,0023,B000086,0023,True
159,C000033,0023,B000102,0023,True
160,C000034,0060,B000077,0060,True
161,C000035,0028,B000110,0028,True
162,C000036,0043,B000106,0043,True
163,C000037,0043,B000108,0043,True
164,C000038,0043,B000122,0043,True
165,C000039,0027,B000104,0027,True
166,C000040,0027,B000107,0027,True
167,C000041,0027,B000116,0027,True
168,C000042,0027,B000117,0027,True
169,C000043,0027,B000121,0027,True
170,C000044,0009,B000119,0009,True
171,C000045,0052,B000111,0052,True
172,C000046,0052,B000115,0052,True
173,C000047,0052,B000118,0052,True
174,425,0047,308,0047,True
175,425,0047,324,0047,True
176,425,0047,373,0047,True
177,425,0047,203,0047,True
178,425,0047,204,0047,True
179,425,0047,207,0047,True
180,425,0047,231,0047,True
181,425,0047,200,0047,True
182,425,0047,202,0047,True
183,425,0047,228,0047,True
184,425,0047,245,0047,True
185,424,0062,452,0062,True
186,426,0051,458,0051,True
187,426,0051,459,0051,True
188,427,0051,476,0051,True
189,427,0051,477,0051,True
190,428,0051,478,0051,True
191,428,0051,479,0051,True
192,419,0007,470,0007,True
193,415,0007,486,0007,True
194,415,0007,481,0007,True
195,416,0007,491,0007,True
196,429,0051,502,0051,True
197,430,0051,515,0051,True
198,430,0051,517,0051,True
199,423,0006,537,0006,True
200,423,0006,538,0006,True
201,422,0006,508,0006,True
202,420,0007,507,0007,True
203,417,0007,509,0007,True
204,418,0007,510,0007,True
205,418,0007,511,0007,True
206,418,0007,512,0007,True
207,414,0007,518,0007,True
208,414,0007,540,0007,True
209,C000048,0009,B000125,0009,True
210,C000049,0001,B000131,0001,True
211,C000050,0043,B000130,0043,True
212,C000051,0043,B000133,0043,True
213,C000052,0043,B000135,0043,True
214,C000053,0027,B000126,0027,True
215,C000054,0027,B000127,0027,True
216,C000055,0027,B000128,0027,True
217,C000056,0027,B000134,0027,True
218,C000057,0027,B000136,0027,True
219,C000058,0027,B000137,0027,True
220,C000059,0027,B000138,0027,True
221,C000060,0009,B000129,0009,True
222,C000015,0001,B000069,0001,True
223,C000022,0001,B000091,0001,True
224,C000023,0043,B000098,0043,True
225,C000023,0043,B000099,0043,True
226,C000023,0043,B000100,0043,True
227,C000025,0027,B000081,0027,True
228,C000032,0023,B000087,0023,True
229,C000032,0023,B000088,0023,True
230,C000032,0023,B000089,0023,True
231,C000033,0023,B000103,0023,True
232,C000037,0043,B000109,0043,True
233,C000037,0043,B000114,0043,True
234,C000038,0043,B000123,0043,True
235,C000039,0027,B000105,0027,True
236,C000044,0009,B000120,0009,True
237,C000045,0052,B000112,0052,True
238,C000049,0001,B000132,0001,True
239,C000001,0001,B000065,0001,True
240,0538,0057,979,0057,True
241,0537,0057,993,0057,True
