RECID,CRNUM,CRDATE,CUSTNO,AMOUNT,N2307,BANKACCTCO,CHECKNO,CHECKDATE,DATEDEPOSI,UNDOCUMENT,CREATEDBY,CREATEDDAT
1,249,2025-01-07,0007,137500.0,2500.0,001,1000063558,2025-01-07,2025-01-07,False,2265,2025-01-29 09:55:06
2,250,2025-01-07,0007,238562.5,4337.5,001,1000063559,2025-01-07,2025-01-07,False,2265,2025-01-29 09:57:29
3,351,2025-01-07,0007,710678.57,12921.42,001,1000063560,2025-01-07,2025-01-07,False,2265,2025-01-29 10:02:31
4,352,2025-01-07,0007,235321.43,4278.57,001,1000063561,2025-01-07,2025-01-07,False,2265,2025-01-29 10:05:01
5,353,2025-01-13,0007,505548.21,9191.79,001,90979,2025-01-13,2025-01-13,False,2265,2025-01-29 10:07:03.999000
6,354,2025-01-13,0007,496473.21,9026.79,001,90980,2025-01-13,2025-01-13,False,2265,2025-01-29 10:08:44
7,355,2025-01-17,0007,395057.14,7182.86,001,90988,2025-01-17,2025-01-17,False,2265,2025-01-29 10:11:02
8,356,2025-01-17,0007,485669.64,8830.36,001,90989,2025-01-17,2025-01-17,False,2265,2025-01-29 10:12:35.999000
9,357,2025-01-17,0007,494744.64,8995.36,001,90990,2025-01-17,2025-01-17,False,2265,2025-01-29 10:14:03
10,358,2025-01-17,0007,503603.57,9156.43,001,90991,2025-01-17,2025-01-17,False,2265,2025-01-29 10:17:43
11,359,2025-01-17,0007,225892.86,4107.14,001,100063706,2025-01-17,2025-01-17,False,2265,2025-01-29 10:18:58
12,360,2025-01-17,0007,212781.25,3868.75,001,1000063707,2025-01-17,2025-01-17,False,2265,2025-01-29 10:20:18
13,361,2025-01-17,0007,586928.57,10671.43,001,1000063708,2025-01-17,2025-01-17,False,2265,2025-01-29 10:21:29.999000
14,362,2025-01-17,0007,108035.71,1964.29,001,1000063709,2025-01-17,2025-01-17,False,2265,2025-01-29 10:22:40
15,363,2025-01-17,0007,88392.86,1607.14,001,1000063710,2025-01-17,2025-01-17,False,2265,2025-01-29 10:23:38
16,364,2025-01-17,0007,88392.86,1607.14,001,1000063711,2025-01-17,2025-01-17,False,2265,2025-01-29 10:24:33
17,365,2025-01-17,0007,209540.18,3809.82,001,1000063712,2025-01-17,2025-01-17,False,2265,2025-01-29 10:26:02
18,366,2025-01-17,0007,108035.71,1964.29,001,1000063713,2025-01-17,2025-01-17,False,2265,2025-01-29 10:26:59
19,C000001,2025-01-24,0001,1379246.5,0.0,001,6000170578,2025-01-24,2025-01-24,True,2265,2025-01-29 10:44:13
20,C000002,2025-01-17,0043,1039779.92,0.0,001,562335,2025-01-17,2025-01-17,True,2265,2025-01-29 10:49:21
21,C000003,2025-01-17,0043,82649.75,0.0,001,562356,2025-01-17,2025-01-17,True,2265,2025-01-29 10:53:13
22,C000004,2025-01-17,0043,699898.5,0.0,001,562361,2025-01-17,2025-01-17,True,2265,2025-01-29 10:54:50.999000
23,C000005,2025-01-17,0043,354537.0,0.0,001,562344,2025-01-17,2025-01-17,True,2265,2025-01-29 11:07:52.999000
24,C000006,2025-01-15,0027,120000.0,0.0,001,325583,2025-01-15,2025-01-15,True,2265,2025-01-29 11:09:56.999000
25,C000007,2025-01-10,0052,80890.5,0.0,001,,2025-01-10,2025-01-10,True,2265,2025-01-29 11:12:46.999000
26,C000008,2025-01-10,0052,689343.0,0.0,001,,2025-01-10,2025-01-10,True,2265,2025-01-29 11:14:13
27,C000009,2025-01-10,0052,1021557.98,0.0,001,,2025-01-10,2025-01-10,True,2265,2025-01-29 11:15:23.999000
28,C000010,2025-01-20,0052,644666.46,0.0,001,,2025-01-20,2025-01-20,True,2265,2025-01-29 11:16:22.999000
29,C000011,2025-01-20,0052,1647065.18,0.0,001,,2025-01-20,2025-01-20,True,2265,2025-01-29 11:17:15.999000
