RECID,NUMBER,NAME,ADDRESS1,ADDRESS2,ADDRESS3,TIN,BUSINESS,TERMS,LANDLINE1,LANDLINE2,MOBILE1,MOBILE2,VATABLE,ACTIVE,CREATEDDAT,CREATEDBY,UPDATEDDAT,UPDATEDBY
47,0001,FOUR DRAGONS SHIPPING SERVICES,UNIT H MDP REALTY BLDG.,KM 8 BO PAMPANGA LANANG DAVAO CITY,,468-548-043-000,,7,,,,,False,True,2022-09-30 09:39:17,1790,,
48,0002,SEABOARD SHIPPING AGENCY AND SERVICES CORP,UNIT 202 2ND FLOOR TRINITY,BRGY 666 ZONE 072 ERMITA MANILA,,010-337-786-000,,7,,,,,True,True,2022-09-30 09:39:17,1790,,
49,0003,2GO GROUP INC,"8TH FLOOR TOWER 1 DOUBLE DRAGON PLAZA,","MACAPAGAL BLVD. CORNER EDSA EXTENSION,","PASAY CITY 1302, PHILIPPINES",000-313-401-000,,0,,,,,False,True,2022-09-30 09:39:17,1790,,
50,0004,CLIO SHIPPING AND LOGISTICS PHILS. INC,"ROOM 703, DOÑA FELISA BLDG. 1872 REMEDIOS ST.",COR TAFT AVE. MALATE MANILA,,   -   -   -,,0,,,,,False,True,2022-09-30 09:39:17,1790,,
51,0005,DAVAO GULF MARINE SERVICES INC.,2ND FLOOR LAGURA BLDG.,JP CABAGUIO AVE. DAVAO CITY,,420-106-471-000,,30,,,,,False,True,2022-09-30 09:39:17,1790,,
52,0006,GAC PHILIPPINES INC,18/F NEX TOWER 6786 AYALA AVE,"SAN LORENZO MAKATI CITY, PHILIPPINES 1229",,201-204-344-00000,,7,,,,,False,True,2022-09-30 09:39:17,1790,,
53,0007,INSULAR OIL CORPORATION,KM 10 J.P. LAUREL AVE. SASA,BUHANGIN DISTRICT 8000 DAVAO CITY,DAVAO DEL SUR PHILIPPINES,247-923-221-00000,,7,,,,,True,True,2022-09-30 09:39:17,1790,,
54,0008,PETROMIN SHIPPING & MARINE SERVICES INC.,"1503 CITYLAND 10 TOWER 1, 6815 AYALA AVE.",SALCEDO VILLAGE MAKATI CITY,,004-670-496-000,,0,,,,,False,True,2022-09-30 09:39:17,1790,,
55,0009,PHILHUA SHIPPING INC,2626 MAYTUBIG ST.,MALATE  MANILA 1004,,251-251-264-000,,0,,,,,False,True,2022-09-30 09:39:17,1790,,
56,0010,SMC SHIPPING AND LIGHTERAGE CORPORATION,BLOCK 9 LOT 4-6 FERNANDO ST. CORNER FRANCISCO SERRO ST.,MANILA HARBOUR CENTRE BRGY. 128 ZONE 10,1012 TONDO CITY OF MANILA,000-190-742-00000,,30,,,,,True,True,2022-09-30 09:39:17,1790,,
57,0011,LORENZO SHIPPING CORPORATION,NO. 15 KM. 9 OLD AIRPORT ROAD SASA, DAVAO CITY DAVAO DEL SUR,,000-628-958-006,,30,,,,,True,True,2022-09-30 09:39:17,,,
58,0012,SAFEAIR CORPORATION,BLDG. C PHOENIX SUB BUSINESS PARK E. RODRIGUEZ AVE,LIBIS QUEZON CITY,,220-043-619-000,,0,,,,,False,True,2022-09-30 09:39:17,,,
59,0013,PHIL. SPAN ASIA CARRIER CORP.,27-C LEON GARCIA ST.,DAVAO CITY,,000-311-115-130,,30,,,,,False,True,2022-09-30 09:39:17,,,
60,0014,PACIFICROSE SHIPPING SERVICES INC.,E.O PEREZ ST NORTH RECLAMATION AREA,SUBANGDAKU MANDAUE CITY,,009-522-616-000,,0,,,,,False,True,2022-09-30 09:39:17,,,
61,0015,FLYING VESSEL,,,,,,,,,,,,True,2022-09-30 09:39:17,,,
62,0016,ANIMO MARINE HAUELERS SHIP MANAGEMENT CORP.,UNIT 04 7TH FLOOR HEXAGON CORPORATE CENTER #1471,QUEZON AVE. WEST TRIANGLE QUEZON CITY,,007-106-527-00000,,0,,,,,False,True,2022-09-30 09:39:17,,,
63,0017,VIA MARINE CORPORATION,111 P. AQUINO AVE LONGOS 1472,CITY OF MALABON NCR THIRD DIST. PHILIPPINES,,000-909-542-000,,15,,,,,True,True,2022-09-30 09:39:17,,,
64,0018,ISLAS TANKERS SEATRANSPORT CORP.,"21/F TIMES PLAZA BUILDING COR. TAFT AVE.,",COR. UN AVE. ERMITA MANILA CITY,,221-433-684-000,,15,,,,,True,True,2022-09-30 09:39:17,,,
65,0019,PHOENIX PETROLEUM PHILS. INC.,,,,,,,,,,,,True,2022-09-30 09:39:17,,,
66,0020,NARRA TANKERS CORPORATION,BLK.9 LOT 4-6 FERNANDO ST. COR. FRANCISCO SERRO ST.,"BRGY.128 ZONE 10 1013 TONDO, CITY OF MANILA",,008-523-458-00000,,30,,,,,True,True,2022-09-30 09:39:17,,,
67,0021,NORTEAM,,,,,,,,,,,,True,2022-09-30 09:39:17,,,
68,0022,HARBOR EAGLE,,,,,,,,,,,,True,2022-09-30 09:39:17,,,
