RECID,NUMBER,DATE,VESSELNUM,PORTNUM,TUGNUM,BASE,TYPE,OTHER,TIMELEFT,TIMEARRIVE,NEXTDAY,REMARKS,MASTERNO,BILLED,BILLNUM,ADJUSTED,DISPATCHRA,ASSIST,TENDING,ENTRYDATE,ENTRYBY,PLUSDAY,COSNO,DATELEFT,DATEARRIVE,CUSTNO,BAFRATE,DISPATCHBI,BAFBILLAMT,DISPATCHR2,BAFRATEADJ,DISPATCHNE,BAFNETAMT,APOTHERTUG,PERHOUR,APPROVED,RATE,SRVCTYPE,VOYAGE,ISRATEOK,DISAPPROVE,TERMINAL,UPLOADED,NHR2
31,26160,2022-10-01,0014,,018,,1,,0500,0550,False,,2337,True,1833,False,35000.0,False,False,2022-10-04 12:21:25.999000,2364,,,2022-10-01,2022-10-01,,,,,,,,,,,True,,001,,True,,,,
32,26162,2022-10-01,0014,,018,,2,,2250,2330,False,"
",2337,True,1833,False,35000.0,False,False,2022-10-04 13:01:12.999000,2364,,,2022-10-01,2022-10-01,,,,,,,,,,,True,,002,,True,,,,
33,26096,2022-10-01,0014,,003,,1,,0500,0615,False,"
",2055,True,1833,False,35000.0,True,False,2022-10-04 13:01:50.999000,2364,0,,2022-10-01,2022-10-01,,,,,,,,,,,True,,001,,True,,,,
34,26097,2022-10-01,0014,,003,,2,,2245,2335,False,"
",2055,True,1833,False,35000.0,False,False,2022-10-04 13:02:36.999000,2364,,,2022-10-01,2022-10-01,,,,,,,,,,,True,,002,,True,,,,
35,26161,2022-10-01,0014,,018,,10,TENDING,0550,2250,False,,2337,True,1834,False,22000.0,False,False,2022-10-04 13:04:38,2364,,,2022-10-01,2022-10-01,,,,,,,,,,,True,,010,,True,,,,
36,25956,2022-10-01,0023,,001,,1,,2040,2140,False,,2063,True,1835,False,52000.0,False,False,2022-10-04 13:17:18.999000,2364,,,2022-10-01,2022-10-01,,,,,,,,,,,True,,001,,True,,,,
37,26098,2022-10-01,0023,,003,,1,,1930,2140,False,"
",2055,True,1835,False,52000.0,False,False,2022-10-04 13:17:53,2364,,,2022-10-01,2022-10-01,,,,,,,,,,,True,,001,,True,,,,
38,25957,2022-10-02,0023,,001,,2,,1155,1240,False,"
",2063,True,1835,False,52000.0,False,False,2022-10-04 13:18:36,2364,,,2022-10-02,2022-10-02,,,,,,,,,,,True,,002,,True,,,,
39,26099,2022-10-02,0023,,003,,2,,1145,1245,False,"
",2055,True,1835,False,52000.0,False,False,2022-10-04 13:19:11,2364,,,2022-10-02,2022-10-02,,,,,,,,,,,True,,002,,True,,,,
40,26164,2022-10-03,0014,,018,,2,,2125,2325,False,,2337,True,1836,False,35000.0,False,False,2022-10-13 11:35:23.999000,2364,0,,2022-10-03,2022-10-03,,,,,,,,,,,True,,002,,True,,,,
41,26163,2022-10-03,0014,,018,,1,,0620,0750,False,,2337,True,1836,False,35000.0,False,False,2022-10-13 11:37:07,2364,0,,2022-10-03,2022-10-03,,,,,,,,,,,True,,001,,True,,,,
42,26100,2022-10-03,0014,,003,,1,,0615,0745,False,,2055,True,1836,False,35000.0,False,False,2022-10-13 11:37:54.999000,2364,,,2022-10-03,2022-10-03,,,,,,,,,,,True,,001,,True,,,,
43,26202,2022-10-03,0014,,003,,2,,2125,2325,False,,2055,True,1836,False,35000.0,False,False,2022-10-13 11:38:27,2364,,,2022-10-03,2022-10-03,,,,,,,,,,,True,,002,,True,,,,
44,26167,2022-10-06,0014,,018,,1,,0405,0510,False,,2337,True,1837,False,35000.0,False,False,2022-10-13 13:35:10,2364,,,2022-10-06,2022-10-06,,,,,,,,,,,True,,001,,True,,,,
45,26165,2022-10-07,0014,,018,,2,,0010,0040,False,,2337,True,1837,False,35000.0,False,False,2022-10-13 13:35:54,2364,,,2022-10-07,2022-10-07,,,,,,,,,,,True,,002,,True,,,,
46,026204,2022-10-06,0014,,003,,1,,0400,0530,False,,2055,True,1837,False,35000.0,False,False,2022-10-13 13:36:37,2364,,,2022-10-06,2022-10-06,,,,,,,,,,,True,,001,,True,,,,
47,026205,2022-10-06,0014,,003,,2,,2330,0045,True,,2055,True,1837,False,35000.0,False,False,2022-10-13 13:37:38,2364,,,2022-10-06,2022-10-06,,,,,,,,,,,True,,002,,True,,,,
48,026166,2022-10-06,0014,,018,,10,TENDING,0510,0010,True,,2337,True,1838,False,22000.0,False,False,2022-10-13 13:48:47,2364,,,2022-10-06,2022-10-06,,,,,,,,,,,True,,010,,True,,,,
49,26168,2022-10-07,0014,,018,,1,,0040,0130,False,,2337,True,1839,False,35000.0,False,False,2022-10-13 13:50:09.999000,2364,,,2022-10-07,2022-10-07,,,,,,,,,,,True,,001,,True,,,,
50,26169,2022-10-08,0014,,018,,2,,0250,0400,False,,2337,True,1839,False,35000.0,False,False,2022-10-13 13:51:30.999000,2364,,,2022-10-08,2022-10-08,,,,,,,,,,,True,,002,,True,,,,
51,26206,2022-10-07,0014,,003,,1,,0045,0125,False,,2055,True,1839,False,35000.0,False,False,2022-10-13 13:52:03.999000,2364,,,2022-10-07,2022-10-07,,,,,,,,,,,True,,001,,True,,,,
52,26207,2022-10-08,0014,,003,,2,,0240,0355,False,,2055,True,1839,False,35000.0,False,False,2022-10-13 13:52:34,2364,,,2022-10-08,2022-10-08,,,,,,,,,,,True,,002,,True,,,,
53,26203,2022-10-04,0024,,003,,1,,2000,2155,False,,2055,True,1840,False,53943.5,False,False,2022-10-13 13:56:49,2364,,,2022-10-04,2022-10-04,,,,,,,,,,,True,,001,,True,,,,
54,25959,2022-10-04,0024,,001,,1,,1950,2155,False,,2063,True,1840,False,53943.5,False,False,2022-10-13 13:57:26,2364,,,2022-10-04,2022-10-04,,,,,,,,,,,True,,001,,True,,,,
55,25960,2022-10-07,0024,,001,,2,,0728,0805,False,,2063,True,1840,False,53943.5,False,False,2022-10-13 13:58:33.999000,2364,,,2022-10-07,2022-10-07,,,,,,,,,,,True,,002,,True,,,,
56,26208,2022-10-07,0024,,003,,2,,0720,0805,False,,2055,True,1840,False,53943.5,False,False,2022-10-13 13:58:57.999000,2364,,,2022-10-07,2022-10-07,,,,,,,,,,,True,,002,,True,,,,
57,26211,2022-10-10,0025,,003,,2,,0130,0250,False,,2055,True,1841,False,54083.0,False,False,2022-10-13 14:01:53,2364,,,2022-10-10,2022-10-10,,,,,,,,,,,True,,002,,True,,,,
58,26201,2022-10-03,0025,,003,,1,,0810,1015,False,,2055,True,1841,False,54083.0,False,False,2022-10-13 14:02:23.999000,2364,,,2022-10-03,2022-10-03,,,,,,,,,,,True,,001,,True,,,,
59,25958,2022-10-03,0025,,001,,1,,0800,1000,False,,2063,True,1841,False,54083.0,False,False,2022-10-13 14:02:59,2364,,,2022-10-03,2022-10-03,,,,,,,,,,,True,,001,,True,,,,
60,25962,2022-10-10,0025,,001,,2,,0140,0245,False,,2063,True,1841,False,54083.0,False,False,2022-10-13 14:04:13,2364,,,2022-10-10,2022-10-10,,,,,,,,,,,True,,002,,True,,,,
61,25961,2022-10-07,0027,,001,,1,,1135,1250,False,,2063,True,1842,False,53943.5,False,False,2022-10-17 09:17:47,2364,,,2022-10-07,2022-10-07,,,,,,,,,,,True,,001,,True,,,,
62,25963,2022-10-12,0027,,001,,2,,0845,0925,False,,2063,True,1842,False,53943.5,False,False,2022-10-17 09:18:23,2364,,,2022-10-12,2022-10-12,,,,,,,,,,,True,,002,,True,,,,
63,26209,2022-10-07,0027,,003,,1,,1140,1300,False,,2055,True,1842,False,53943.5,False,False,2022-10-17 09:18:57.999000,2364,,,2022-10-07,2022-10-07,,,,,,,,,,,True,,001,,True,,,,
64,26214,2022-10-12,0027,,003,,2,,0840,0920,False,,2055,True,1842,False,53943.5,False,False,2022-10-17 09:19:22,2364,,,2022-10-12,2022-10-12,,,,,,,,,,,True,,002,,True,,,,
65,26170,2022-10-12,0014,,018,,1,,0455,0540,False,,2337,True,1843,False,35000.0,False,False,2022-10-17 12:38:21.999000,2364,,,2022-10-12,2022-10-12,,,,,,,,,,,True,,001,,True,,,,
66,26172,2022-10-12,0014,,018,,2,,2220,2315,False,"
",2337,True,1843,False,35000.0,False,False,2022-10-17 12:38:58.999000,2364,,,2022-10-12,2022-10-12,,,,,,,,,,,True,,002,,True,,,,
67,26212,2022-10-12,0014,,003,,1,,0420,0555,False,"
",2055,True,1843,False,35000.0,False,False,2022-10-17 12:39:27.999000,2364,,,2022-10-12,2022-10-12,,,,,,,,,,,True,,001,,True,,,,
68,26213,2022-10-12,0014,,003,,2,,2150,2310,False,"
",2055,True,1843,False,35000.0,False,False,2022-10-17 12:56:43,2364,,,2022-10-12,2022-10-12,,,,,,,,,,,True,,002,,True,,,,
69,26171,2022-10-12,0014,,018,,10,TENDING,0540,2220,False,"
",2337,True,1844,False,22000.0,False,True,2022-10-17 12:58:53.999000,2364,,,2022-10-12,2022-10-12,,,,,,,,,,,True,,010,,True,,,,
70,26173,2022-10-14,0014,,018,,1,,0610,0750,False,"
",2337,True,1845,False,35000.0,False,True,2022-10-17 13:01:25,2364,,,2022-10-14,2022-10-14,,,,,,,,,,,True,,001,,True,,,,
71,26174,2022-10-15,0014,,018,,2,,0215,0255,False,"
",2337,True,1845,False,35000.0,False,True,2022-10-17 13:02:02,2364,,,2022-10-15,2022-10-15,,,,,,,,,,,True,,002,,True,,,,
72,26215,2022-10-14,0014,,003,,1,,0610,0745,False,"
",2055,True,1845,False,35000.0,False,True,2022-10-17 13:05:09.999000,2364,,,2022-10-14,2022-10-14,,,,,,,,,,,True,,001,,True,,,,
73,26216,2022-10-15,0014,,003,,2,,0205,0305,False,"
",2055,True,1845,False,35000.0,False,True,2022-10-17 13:06:17.999000,2364,,,2022-10-15,2022-10-15,,,,,,,,,,,True,,002,,True,,,,
74,26175,2022-10-15,0014,,018,,1,,0505,0605,False,,2337,True,1846,False,35000.0,False,True,2022-10-17 13:13:36.999000,2364,,,2022-10-15,2022-10-15,,,,,,,,,,,True,,001,,True,,,,
75,26177,2022-10-15,0014,,018,,2,,1925,2000,False,,2337,True,1846,False,35000.0,False,True,2022-10-17 13:14:24,2364,,,2022-10-15,2022-10-15,,,,,,,,,,,True,,002,,True,,,,
76,26217,2022-10-15,0014,,003,,1,,0500,0605,False,,2055,True,1846,False,35000.0,False,True,2022-10-17 13:15:53,2364,,,2022-10-15,2022-10-15,,,,,,,,,,,True,,001,,True,,,,
77,26218,2022-10-15,0014,,003,,2,,1845,2000,False,,2055,True,1846,False,35000.0,False,True,2022-10-17 13:17:10.999000,2364,,,2022-10-15,2022-10-15,,,,,,,,,,,True,,002,,True,,,,
78,26176,2022-10-15,0014,,018,,10,TENDING,0605,1925,False,,2337,True,1847,False,22000.0,True,False,2022-10-17 13:18:10.999000,2364,,,2022-10-15,2022-10-15,,,,,,,,,,,True,,010,,True,,,,
79,26178,2022-10-17,0028,,018,,1,,0455,0700,False,,2337,True,1848,True,30120.0,False,False,2022-10-19 14:55:13.999000,2364,0,,2022-10-17,2022-10-17,,,,,,,,,,,True,,001,,True,,,,
80,26180,2022-10-18,0028,,018,,2,,1650,1755,False,,2337,True,1848,True,30120.0,False,False,2022-10-19 14:58:01.999000,2364,0,,2022-10-18,2022-10-18,,,,,,,,,,,True,,002,,True,,,,
81,26179,2022-10-17,0028,,018,,10,TENDING,0705,1650,False,,2337,True,1849,True,22000.0,False,True,2022-10-20 11:35:43,2364,1,,2022-10-17,2022-10-18,,,,,,,,,,,True,,010,,True,,,,
82,25967,2022-10-17,0028,,001,,10,TENDING,0700,1640,False,,2276,True,1849,True,22000.0,False,True,2022-10-20 11:36:39.999000,2364,1,,2022-10-17,2022-10-18,,,,,,,,,,,True,,010,,True,,,,
83,25966,2022-10-17,0028,,001,,1,,0445,0700,False,,2276,True,1848,True,30120.0,False,False,2022-10-20 11:38:23.999000,2364,0,,2022-10-17,2022-10-17,,,,,,,,,,,True,,001,,True,,,,
84,25965,2022-10-18,0028,,001,,2,,1645,1755,False,,2276,True,1848,True,30120.0,False,False,2022-10-20 11:39:52.999000,2364,0,,2022-10-18,2022-10-18,,,,,,,,,,,True,,002,,True,,,,
