RECID,NUMBER,TYPE,DESC,CREATEDBY,CREATEDDAT
1,001,1,DOCKING,1790,2024-10-23 09:38:41
2,002,2,UNDOCKING,1790,2024-10-23 09:38:41
3,003,3,FERRY SERVICE,1790,2024-10-23 09:38:41
4,004,4,SHIFTING,1790,2024-10-23 09:38:41
5,005,5,TOWING,1790,2024-10-23 09:38:41
6,006,6,SALVAGE,1790,2024-10-23 09:38:41
7,007,7,MOORING,1790,2024-10-23 09:38:41
8,008,8,UNMOORING,1790,2024-10-23 09:38:41
9,009,9,FENDERING,1790,2024-10-23 09:38:41
10,010,10,TENDING,1790,2024-10-23 09:38:41
11,011,10,CARGO TRANSFER,1790,2024-10-23 09:38:41
12,012,10,BOARDING FORMALITIES,1790,2024-10-23 09:38:41
13,013,10,ESCORT,1790,2024-10-23 09:38:41
14,014,10,WATERING,1790,2024-10-23 09:38:41
15,015,10,ABORTED,1790,2024-10-23 09:38:41
16,016,10,CARGO DELIVERY,1790,2024-10-23 09:38:41
17,017,10,REDOCKING,1790,2024-11-15 08:52:59.999000
18,018,10,RESCUE,1790,2024-11-25 10:20:40
19,019,10,DRILLS,1790,2024-12-03 11:00:27.999000
