RECID,DATE,CUSTNO,PORT,TERMINAL,SERVICE,DISPATCH,BAF,CREATEDBY,CREATEDDAT,TYPE,VESSEL
421,2025-02-01,0001,003,003-004,001,285710.0,0.0,2265,2025-02-04 13:59:35.999000,F,
422,2025-02-01,0001,003,003-004,002,285710.0,0.0,2265,2025-02-04 13:59:35.999000,F,
423,2025-02-01,0001,004,004-001,001,80000.0,37269.75,2265,2025-02-04 13:59:35.999000,F,
424,2025-02-01,0001,004,004-001,002,80000.0,37269.75,2265,2025-02-04 13:59:35.999000,F,
425,2025-02-01,0001,004,004-001,010,22000.0,423.25,2265,2025-02-04 13:59:35.999000,F,
426,2025-02-01,0001,004,004-001,012,46000.0,37269.75,2265,2025-02-04 13:59:35.999000,F,
427,2025-02-01,0001,005,005-005,001,45000.0,14368.5,2265,2025-02-04 13:59:35.999000,F,
428,2025-02-01,0001,005,005-005,002,45000.0,14368.5,2265,2025-02-04 13:59:35.999000,F,
429,2025-02-01,0001,005,005-005,010,22000.0,423.45,2265,2025-02-04 13:59:35.999000,F,
430,2025-02-01,0001,007,007-001,001,500000.0,0.0,2265,2025-02-04 13:59:35.999000,F,
431,2025-02-01,0001,007,007-001,002,500000.0,0.0,2265,2025-02-04 13:59:35.999000,F,
432,2025-02-01,0001,007,007-001,012,50000.0,0.0,2265,2025-02-04 13:59:35.999000,F,
433,2025-02-01,0001,008,008-001,001,500000.0,0.0,2265,2025-02-04 13:59:35.999000,F,
434,2025-02-01,0001,008,008-001,002,500000.0,0.0,2265,2025-02-04 13:59:35.999000,F,
435,2025-02-01,0001,008,008-001,012,50000.0,0.0,2265,2025-02-04 13:59:35.999000,F,
436,2025-02-01,0001,009,009-001,001,35000.0,13674.1,2265,2025-02-04 13:59:35.999000,F,
437,2025-02-01,0001,009,009-001,002,35000.0,13674.1,2265,2025-02-04 13:59:35.999000,F,
438,2025-02-01,0001,009,009-002,001,35000.0,13674.1,2265,2025-02-04 13:59:35.999000,F,
439,2025-02-01,0001,009,009-002,002,35000.0,13674.1,2265,2025-02-04 13:59:35.999000,F,
440,2025-02-01,0006,003,003-004,001,285710.0,0.0,2265,2025-02-04 13:59:35.999000,F,
441,2025-02-01,0006,003,003-004,002,285710.0,0.0,2265,2025-02-04 13:59:35.999000,F,
442,2025-02-01,0006,004,004-001,001,80000.0,37269.75,2265,2025-02-04 13:59:35.999000,F,
443,2025-02-01,0006,004,004-001,002,80000.0,37269.75,2265,2025-02-04 13:59:35.999000,F,
444,2025-02-01,0006,004,004-001,010,22000.0,423.25,2265,2025-02-04 13:59:35.999000,F,
445,2025-02-01,0006,004,004-001,012,46000.0,37269.75,2265,2025-02-04 13:59:35.999000,F,
446,2025-02-01,0006,005,005-005,001,45000.0,14368.5,2265,2025-02-04 13:59:35.999000,F,
447,2025-02-01,0006,005,005-005,002,45000.0,14368.5,2265,2025-02-04 13:59:35.999000,F,
448,2025-02-01,0006,005,005-005,010,22000.0,423.45,2265,2025-02-04 13:59:35.999000,F,
449,2025-02-01,0006,005,005-011,001,45000.0,14368.5,2265,2025-02-04 13:59:35.999000,F,
450,2025-02-01,0006,005,005-011,002,45000.0,14368.5,2265,2025-02-04 13:59:35.999000,F,
451,2025-02-01,0006,007,007-001,001,500000.0,0.0,2265,2025-02-04 13:59:35.999000,F,
452,2025-02-01,0006,007,007-001,002,500000.0,0.0,2265,2025-02-04 13:59:35.999000,F,
453,2025-02-01,0006,007,007-001,012,50000.0,0.0,2265,2025-02-04 13:59:35.999000,F,
454,2025-02-01,0006,008,008-001,001,500000.0,0.0,2265,2025-02-04 13:59:35.999000,F,
455,2025-02-01,0006,008,008-001,002,500000.0,0.0,2265,2025-02-04 13:59:35.999000,F,
456,2025-02-01,0006,008,008-001,012,50000.0,0.0,2265,2025-02-04 13:59:35.999000,F,
457,2025-02-01,0006,009,009-001,001,35000.0,13674.1,2265,2025-02-04 13:59:35.999000,F,
458,2025-02-01,0006,009,009-001,002,35000.0,13674.1,2265,2025-02-04 13:59:35.999000,F,
459,2025-02-01,0006,009,009-002,001,35000.0,13674.1,2265,2025-02-04 13:59:35.999000,F,
460,2025-02-01,0006,009,009-002,002,35000.0,13674.1,2265,2025-02-04 13:59:35.999000,F,
461,2025-02-01,0007,003,003-001,001,55000.0,0.0,2265,2025-02-04 13:59:35.999000,L,
462,2025-02-01,0007,003,003-001,002,55000.0,0.0,2265,2025-02-04 13:59:35.999000,L,
463,2025-02-01,0007,003,003-004,001,285710.0,0.0,2265,2025-02-04 13:59:35.999000,L,
464,2025-02-01,0007,003,003-004,002,285710.0,0.0,2265,2025-02-04 13:59:35.999000,L,
465,2025-02-01,0007,004,004-001,001,35000.0,37269.75,2265,2025-02-04 13:59:35.999000,L,
466,2025-02-01,0007,004,004-001,002,35000.0,37269.75,2265,2025-02-04 13:59:35.999000,L,
467,2025-02-01,0007,004,004-001,010,22000.0,423.25,2265,2025-02-04 13:59:35.999000,L,
468,2025-02-01,0007,004,004-003,001,85000.0,0.0,2265,2025-02-04 13:59:35.999000,L,
469,2025-02-01,0007,004,004-003,002,85000.0,0.0,2265,2025-02-04 13:59:35.999000,L,
470,2025-02-01,0007,005,005-005,001,35000.0,0.0,2265,2025-02-04 13:59:35.999000,L,
471,2025-02-01,0007,005,005-005,002,35000.0,0.0,2265,2025-02-04 13:59:35.999000,L,
472,2025-02-02,0007,005,005-005,010,22000.0,0.0,2265,2025-02-04 13:59:35.999000,L,
473,2025-02-01,0007,005,005-005,010,5000.0,0.0,2265,2025-02-04 13:59:35.999000,L,
474,2025-02-01,0007,007,007-001,001,45000.0,0.0,2265,2025-02-04 13:59:35.999000,L,
475,2025-02-01,0007,007,007-001,002,45000.0,0.0,2265,2025-02-04 13:59:35.999000,L,
476,2025-02-01,0007,009,009-001,001,35000.0,13674.1,2265,2025-02-04 13:59:35.999000,L,
477,2025-02-01,0007,009,009-001,002,35000.0,13674.1,2265,2025-02-04 13:59:35.999000,L,
