RECID,NUMBER,NAME,CREATEDBY,CREATEDDAT
1,001-001,BBTI,,
2,001-002,CHEVRON,,
3,001-003,PETRON MABINI,,
4,001-004,SRDC,,
5,002-001,PRYCE GAS LILA,,
6,003-001,ARCTURA,,
7,003-002,CHEVRON LAPU LAPU,,
8,003-003,SPEC PITALO,,
9,003-004,SRDC LAPU LAPU,,
10,004-001,PETRO DE ORO CORP,,
11,005-001,CHEVRON SASA,,
12,005-002,CRAFT HAVEN,,
13,005-003,DBCOM,,
14,005-004,HOLCIM,,
15,005-005,INSULAR OIL,,
16,005-006,KTC,,
17,005-007,KUDOS,,
18,005-008,LEGASPI OIL,,
19,005-009,NEW DAVAO OIL MILL,,
20,005-010,PETRON SASA,,
21,005-011,SASA PORT,,
22,005-012,SEAOIL STA CRUZ,,
23,005-013,SHEL SASA,,
24,005-014,SIDC BRIDGE,,
25,005-015,SRDC SASA,,
26,005-016,STA ANA ANCHORAGE,,
27,005-017,THERMA SOUTH,,
28,006-001,CHEVRON,,
29,006-002,SRDC,,
30,007-001,VISPET,,
31,008-001,AZORA SARIAYA,,
32,009-001,PPC TERMINAL,,
36,003-005,PHOENIX NAGA,,
37,005-018,PHOENIX SASA,,
38,009-002,COASTAL,,
39,006-003,TMOMI,1790,2024-11-05 09:56:38.999000
40,003-006,AZORA SAN FERNANDO,9039,2024-11-25 10:15:32
41,010-001,CORALES DEPOT,1790,2024-12-04 10:19:29
42,004-002,MACABALAN,1790,2024-12-16 08:26:09.999000
43,004-003,PHOENIX TAGOLOAN,1790,2024-12-16 08:26:30.999000
44,001-005,ATI,9039,2025-01-18 16:09:25
45,005-019,TEFASCO,9039,2025-01-18 16:20:11
46,006-004,PETRON,9039,2025-01-18 16:23:49.999000
47,001-006,FIRST GAS SAN LORENZO,9039,2025-02-06 09:39:41
48,011-001,PHOENIX GENSAN,9039,2025-02-26 16:44:51.999000
49,001-007,SEAOIL MABINI,9039,2025-03-17 14:55:10
50,003-007,LIBOR,9039,2025-04-05 18:37:59.999000
51,001-008,FGEN LNG TERMINAL,9039,2025-04-23 11:22:02
52,001-009,FIRST GAS POWER CORP,9039,2025-04-23 11:22:26.999000
53,006-005,PPA JIMENEZ,9039,2025-05-13 09:12:28
54,001-010,DANGLAYAN ANCHORAGE,9039,2025-05-20 13:45:33
55,001-011,DANGLAYAN ANCHORAGE,9039,2025-05-20 17:52:00.999000
56,005-020,SOUTHERN CONCRETE INDUSTRY INC,9039,2025-06-03 15:00:09.999000
57,001-012,CHEVRON BATANGAS,2265,2025-07-15 13:42:30.999000
58,001-013,SINISIAN LEMERY BATANGAS PORT,2610,2025-07-26 09:32:01
59,006-006,PALILAN OIL DEPOT CORPORATION,2610,2025-09-25 09:45:54.999000
60,003-008,TALISAY,2265,2025-11-14 16:42:07.999000
61,011-002,GENSAN SHIPYARD,2610,2025-11-28 17:08:12
62,004-004,SLHBTC TAGOLOAN TERMINAL,2610,2025-11-29 13:17:51
63,005-021,GOVERNOR GENEROSO,2610,2025-12-23 14:02:15
64,001-014,COCOCHEM TERMINAL,2610,2026-02-12 16:28:25.999000
65,001-015,BATANGAS SHIPYARD CORP.,2610,2026-03-10 11:11:03.999000
66,005-022,DMPTI,2610,2026-03-13 12:26:27
67,001-016,FLC CALACA,2610,2026-04-20 16:03:05.999000
68,005-023,INTERCO,2610,2026-05-02 11:42:56.999000
69,001-017,BIPI,2610,2026-05-14 10:13:49.999000
