RECID,NUMBER,NAME,COMPANYOWN,OWNER,CREATEDDAT,CREATEDBY
46,001,AMATA MARU,True,000,2022-09-30 09:39:17,1790
47,002,BOHOL SEA,True,000,2022-09-30 09:39:17,1790
48,003,CEBU STRAIT,True,000,2022-09-30 09:39:17,1790
49,004,CHARGER,False,002,2022-09-30 09:39:17,1790
50,005,DINAGAT,,002,2022-09-30 09:39:17,1790
51,006,ENERGY GALAXY,,003,2022-09-30 09:39:17,1790
52,007,ENERGY PACIFIC,,003,2022-09-30 09:39:17,1790
53,008,GALINA2,,002,2022-09-30 09:39:17,1790
54,009,ILONGO,,002,2022-09-30 09:39:17,1790
55,010,ISLANDER,,002,2022-09-30 09:39:17,1790
56,011,LAKANDULA,True,000,2022-09-30 09:39:17,1790
57,012,LIMAY,,002,2022-09-30 09:39:17,1790
58,021,MT JOLINA,False,006,2022-09-30 09:39:17,1790
59,013,MT ANTON,False,005,2022-09-30 09:39:17,1790
60,014,PACIFIC ROSE 7,,005,2022-09-30 09:39:17,1790
61,015,PINDASAN,,001,2022-09-30 09:39:17,1790
62,016,SIDE ARM,False,020,2022-09-30 09:39:17,1790
63,017,STANFORD,False,002,2022-09-30 09:39:17,1790
64,018,TABANGAO,True,000,2022-09-30 09:39:17,1790
65,019,TUBBATAHA,False,002,2022-09-30 09:39:17,1790
66,020,WEZEN,,002,2022-09-30 09:39:17,1790
67,022,PACIFIC ROSE 6,False,005,2022-10-20 15:42:08,1790
68,023,PACIFIC ROSE 3,False,005,2022-11-07 10:30:20,2364
69,024,PACIFIC ROSE 1,False,005,2022-11-07 10:30:32.999000,2364
70,025,MT ANRIA,False,005,2022-11-09 13:09:06,2364
71,026,DINAGAT 1,False,002,2022-11-15 16:19:30.999000,2364
72,027,MAGSINO,False,002,2022-11-16 14:45:05.999000,2364
73,028,ELIJAH MERK,False,006,2022-11-22 14:43:33,2364
74,029,ENERGY VENUS,False,003,2022-11-24 15:57:22.999000,2364
75,030,MT SARGAS,False,005,2022-12-01 16:35:27.999000,2364
76,031,MT ACHERNAR,False,005,2022-12-01 16:35:53,2364
77,032,PACIFIC ROSE 5,False,005,2022-12-24 10:27:45,2364
78,033,TUG98,False,007,2023-01-09 13:14:18.999000,2364
79,034,MANGYAN,False,002,2023-01-21 10:59:10,2364
80,035,MT GENARA-1,False,020,2023-01-21 14:35:07,2364
81,036,PACIFIC ROSE 9,False,005,2023-01-31 14:56:42.999000,2364
82,037,KANDAR,False,002,2023-03-15 11:28:06,2364
83,038,PACIFIC ROSE 8,False,005,2023-03-15 13:25:34.999000,2364
84,039,FORTIS VII,False,001,2023-03-20 12:55:24.999000,2364
85,040,MT ANDRICK,False,005,2023-04-01 13:40:00.999000,2364
86,041,BATHALA 1,False,002,2023-04-25 16:23:11,2364
87,042,ENERGY SUCCESS,False,003,2023-05-06 09:08:22,2364
88,043,PACIFIC ROSE 2,False,005,2023-05-23 14:11:40.999000,2364
89,044,MT SUGBU 5,False,005,2023-05-27 09:48:57,2364
90,045,MT ANLUCIA,False,005,2023-06-20 11:03:27,2364
91,046,JABBAH,False,002,2023-06-20 13:35:58.999000,2364
92,047,TALOFOFO,False,002,2023-07-25 09:26:33,2364
93,048,PACIFIC ROSE 10,False,005,2023-08-02 15:29:08,2364
94,049,CHOKWANG,True,000,2023-08-10 17:42:48,2364
