MALAYAN MARITIME SERVICES INC.,,,,,,,,,,,,,,,,,,,,,
Dispatch Ticket For Billing,,,,,,,,,,,,,,,,,,,,,
"Date: June 26, 2026",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
COS #,DISPATCH #,DATE,SERVICE,VOYAGE #,CUSTOMER,VESSEL,PORT,TERMINAL,DATE/TIME           LEFT,DATE/TIME           ARRIVED,# OF HOURS,RATE INDICATOR,D I S P A T C H,,,,B A F,,,,TOTAL BILL AMOUNT
,,,,,,,,,,,,,RATE,BILL AMOUNT,DISCOUNT,NET AMOUNT,RATE,BILL AMOUNT,DISCOUNT,NET AMOUNT,
,,,,,,,,,,,,,,,,,,,,,
,26160,10/01/2022,DOCKING,,,MT SAMAL ISLAND,,,10/01/2022 05:00,10/01/2022 05:50,0.83,Per Move," 35,000.00 ",    ,,    ,    ,    ,,    ,    
,26096,10/01/2022,DOCKING,,,MT SAMAL ISLAND,,,10/01/2022 05:00,10/01/2022 06:15,1.25,Per Move," 35,000.00 ",    ,,    ,    ,    ,,    ,    
,26161,10/01/2022,TENDING,,,MT SAMAL ISLAND,,,10/01/2022 05:50,10/01/2022 22:50,17.00,Per Move," 22,000.00 ",    ,,    ,    ,    ,,    ,    
,26098,10/01/2022,DOCKING,,,LPG DL ZINNIA,,,10/01/2022 19:30,10/01/2022 21:40,2.17,Per Move," 52,000.00 ",    ,,    ,    ,    ,,    ,    
,25956,10/01/2022,DOCKING,,,LPG DL ZINNIA,,,10/01/2022 20:40,10/01/2022 21:40,1.00,Per Move," 52,000.00 ",    ,,    ,    ,    ,,    ,    
,26097,10/01/2022,UNDOCKING,,,MT SAMAL ISLAND,,,10/01/2022 22:45,10/01/2022 23:35,0.83,Per Move," 35,000.00 ",    ,,    ,    ,    ,,    ,    
,26162,10/01/2022,UNDOCKING,,,MT SAMAL ISLAND,,,10/01/2022 22:50,10/01/2022 23:30,0.67,Per Move," 35,000.00 ",    ,,    ,    ,    ,,    ,    
,26099,10/02/2022,UNDOCKING,,,LPG DL ZINNIA,,,10/02/2022 11:45,10/02/2022 12:45,1.00,Per Move," 52,000.00 ",    ,,    ,    ,    ,,    ,    
,25957,10/02/2022,UNDOCKING,,,LPG DL ZINNIA,,,10/02/2022 11:55,10/02/2022 12:40,0.75,Per Move," 52,000.00 ",    ,,    ,    ,    ,,    ,    
,26100,10/03/2022,DOCKING,,,MT SAMAL ISLAND,,,10/03/2022 06:15,10/03/2022 07:45,1.50,Per Move," 35,000.00 ",    ,,    ,    ,    ,,    ,    
,26163,10/03/2022,DOCKING,,,MT SAMAL ISLAND,,,10/03/2022 06:20,10/03/2022 07:50,1.50,Per Move," 35,000.00 ",    ,,    ,    ,    ,,    ,    
